RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.797589,-36.791865,0.85,331,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.797585,-36.791858,1.72,332,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.797578,-36.791854,1.56,312,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.797568,-36.79185,1.98,307,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.797558,-36.791849,1.62,295,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.797551,-36.791842,1.88,314,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.797539,-36.791834,3.39,317,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.797522,-36.791824,3.77,305,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.797496,-36.791812,5.02,292,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.797464,-36.791802,6.2,291,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.797432,-36.791786,6.53,303,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.797405,-36.791764,6.26,313,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.797381,-36.791741,6.09,314,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.797361,-36.791721,5.55,318,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.797345,-36.791702,4.75,325,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.797328,-36.791683,4.75,324,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.797308,-36.791669,4.58,310,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.797288,-36.791651,5.55,313,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.797267,-36.791629,5.45,319,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.79725,-36.791609,4.91,322,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.797238,-36.79159,4.36,335,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.797227,-36.791576,3.39,333,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.79722,-36.791562,3.17,340,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.797213,-36.791547,3.51,340,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.797205,-36.791535,2.69,335,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.797199,-36.791523,2.69,340,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.797194,-36.791513,2.21,342,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.79719,-36.791503,2.15,340,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.79719,-36.79149,2.69,352,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.797187,-36.791483,1.45,347,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.797185,-36.791472,2.37,352,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.797182,-36.791464,1.62,349,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.797182,-36.791455,2.11,355,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.79718,-36.791446,1.83,354,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.79718,-36.79144,1.34,355,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.797179,-36.791432,1.72,351,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.797178,-36.791424,1.88,356,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.797177,-36.791418,1.56,357,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.797175,-36.791412,1.17,348,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.797173,-36.791404,1.83,351,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.797171,-36.791397,1.17,350,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.797172,-36.791391,1.72,5,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.79717,-36.791384,1.07,1,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.797173,-36.791379,1.34,17,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.797173,-36.791373,0.92,2,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.797171,-36.79137,1.07,335,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.797167,-36.791366,0.96,331,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.797164,-36.791362,0.92,328,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.797159,-36.791357,1.07,327,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.797156,-36.791351,1.45,342,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.797152,-36.791343,1.34,339,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.797149,-36.791338,1.07,340,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.797151,-36.79133,1.88,6,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.797148,-36.791323,1.56,342,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.797142,-36.791314,2.21,343,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.797142,-36.791301,2.47,354,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.797138,-36.791289,2.96,352,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.797134,-36.79128,1.72,348,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.79713,-36.791272,1.62,347,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.797129,-36.791265,1.17,339,0,0,0,0,0,0,0,0,0,0
61,1575688801000,0,0,0,0,0,0,174.797128,-36.791258,1.34,3,0,0,0,0,0,0,0,0,0,0
62,1575688802000,0,0,0,0,0,0,174.797124,-36.791255,1.17,354,0,0,0,0,0,0,0,0,0,0
63,1575688803000,0,0,0,0,0,0,174.797123,-36.791246,1.72,359,0,0,0,0,0,0,0,0,0,0
64,1575688804000,0,0,0,0,0,0,174.79712,-36.791236,1.88,350,0,0,0,0,0,0,0,0,0,0
65,1575688805000,0,0,0,0,0,0,174.797115,-36.79123,1.34,343,0,0,0,0,0,0,0,0,0,0
66,1575688806000,0,0,0,0,0,0,174.797114,-36.79122,1.98,0,0,0,0,0,0,0,0,0,0,0
67,1575688807000,0,0,0,0,0,0,174.79711,-36.791211,1.98,353,0,0,0,0,0,0,0,0,0,0
68,1575688808000,0,0,0,0,0,0,174.797105,-36.791206,1.07,347,0,0,0,0,0,0,0,0,0,0
69,1575688809000,0,0,0,0,0,0,174.797103,-36.791197,2.15,354,0,0,0,0,0,0,0,0,0,0
70,1575688810000,0,0,0,0,0,0,174.797103,-36.791188,1.45,356,0,0,0,0,0,0,0,0,0,0
71,1575688812000,0,0,0,0,0,0,174.797099,-36.791177,1.34,346,0,0,0,0,0,0,0,0,0,0
72,1575688814000,0,0,0,0,0,0,174.797093,-36.791173,0.85,346,0,0,0,0,0,0,0,0,0,0
73,1575688816000,0,0,0,0,0,0,174.797085,-36.79117,1.28,305,0,0,0,0,0,0,0,0,0,0
74,1575688817000,0,0,0,0,0,0,174.797082,-36.791163,1.72,347,0,0,0,0,0,0,0,0,0,0
75,1575688818000,0,0,0,0,0,0,174.797082,-36.791156,1.45,350,0,0,0,0,0,0,0,0,0,0
