RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.795015,-36.791012,3.72,273,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.794992,-36.791008,4.04,279,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.79497,-36.791004,3.83,279,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.794948,-36.790997,4.36,287,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.794924,-36.790987,4.75,292,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.7949,-36.790979,4.47,293,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.794874,-36.790969,5.28,292,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.794845,-36.79096,5.02,288,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.794819,-36.790952,4.64,289,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.794794,-36.790944,4.47,291,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.794768,-36.790936,5.28,290,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.794739,-36.790929,5.02,287,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.794711,-36.790923,5.02,285,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.794681,-36.790919,5.28,281,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.794653,-36.790913,4.91,284,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.794631,-36.790901,4.58,298,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.794614,-36.790885,4.64,315,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.794601,-36.790871,3.28,318,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.794591,-36.790861,2.75,318,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.794581,-36.790852,2.43,318,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.794575,-36.790843,1.98,324,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.794572,-36.790836,1.45,331,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.794571,-36.79083,1.45,343,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.794575,-36.790823,1.88,4,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.794579,-36.790821,0.53,4,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.794585,-36.790819,1.17,25,0,0,0,0,0,0,0,0,0,0
27,1575688768000,0,0,0,0,0,0,174.7946,-36.79082,1.88,73,0,0,0,0,0,0,0,0,0,0
28,1575688769000,0,0,0,0,0,0,174.794612,-36.790819,1.72,76,0,0,0,0,0,0,0,0,0,0
29,1575688770000,0,0,0,0,0,0,174.794618,-36.79082,0.64,84,0,0,0,0,0,0,0,0,0,0
30,1575688771000,0,0,0,0,0,0,174.794623,-36.790823,0.92,108,0,0,0,0,0,0,0,0,0,0
31,1575688772000,0,0,0,0,0,0,174.794628,-36.790824,0.92,91,0,0,0,0,0,0,0,0,0,0
32,1575688773000,0,0,0,0,0,0,174.794633,-36.790823,0.64,91,0,0,0,0,0,0,0,0,0,0
33,1575688774000,0,0,0,0,0,0,174.794635,-36.790824,0.43,91,0,0,0,0,0,0,0,0,0,0
34,1575688775000,0,0,0,0,0,0,174.794636,-36.790824,0.43,91,0,0,0,0,0,0,0,0,0,0
35,1575688777000,0,0,0,0,0,0,174.794643,-36.790825,0.64,125,0,0,0,0,0,0,0,0,0,0
36,1575688778000,0,0,0,0,0,0,174.79464,-36.790826,0.58,180,0,0,0,0,0,0,0,0,0,0
37,1575688779000,0,0,0,0,0,0,174.794638,-36.790826,0.32,180,0,0,0,0,0,0,0,0,0,0
38,1575688780000,0,0,0,0,0,0,174.794636,-36.790825,0.53,238,0,0,0,0,0,0,0,0,0,0
39,1575688782000,0,0,0,0,0,0,174.794633,-36.790823,0.32,262,0,0,0,0,0,0,0,0,0,0
40,1575688783000,0,0,0,0,0,0,174.794633,-36.790822,0.15,262,0,0,0,0,0,0,0,0,0,0
