RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.79574,-36.791548,7.98,309,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.795713,-36.791525,6.26,313,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795692,-36.791503,5.98,320,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.795672,-36.791484,5.55,321,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.795649,-36.791467,5.66,316,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795624,-36.791447,6.36,314,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.7956,-36.791428,5.83,312,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795574,-36.791407,6.36,315,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.79555,-36.791387,6.09,315,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.795526,-36.79137,6.2,310,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.795498,-36.791355,6.36,304,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.795471,-36.791339,5.94,305,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.795444,-36.791323,5.83,305,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.795417,-36.791305,6.26,310,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.795386,-36.791288,6.36,306,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.795354,-36.79127,6.9,304,0,0,0,0,0,0,0,0,0,0
