RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796722,-36.791778,2.75,327,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796713,-36.791768,2.69,328,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796705,-36.791756,2.96,329,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796697,-36.791746,2.15,328,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796692,-36.791734,2.96,339,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796685,-36.791723,2.47,334,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.79668,-36.791711,2.91,340,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796674,-36.791699,2.69,338,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796669,-36.791687,2.75,341,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796664,-36.791676,2.32,341,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796662,-36.791664,2.69,350,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796658,-36.791654,2.11,344,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796653,-36.791645,1.98,340,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.79665,-36.791635,2.37,346,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796646,-36.791626,1.88,344,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796643,-36.791619,1.34,342,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.79664,-36.791611,1.98,347,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796638,-36.791602,1.62,350,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796635,-36.791597,0.92,343,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796632,-36.791591,1.45,342,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796631,-36.791584,1.62,345,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796628,-36.791579,1.28,339,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796626,-36.791574,1.17,345,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796625,-36.791568,1.17,345,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796623,-36.791562,1.45,347,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.79662,-36.791557,0.96,345,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.79662,-36.791551,1.28,355,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796619,-36.791545,1.45,350,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796617,-36.79154,0.81,348,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796616,-36.791536,0.96,351,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796617,-36.791531,0.92,359,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796614,-36.791528,0.96,329,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796612,-36.791524,1.17,339,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796611,-36.791518,1.17,342,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796606,-36.791513,1.07,330,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.796608,-36.791508,1.34,9,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.796607,-36.791502,1.34,357,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.796604,-36.791497,1.17,345,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.796601,-36.791493,0.96,338,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.796597,-36.791487,1.45,333,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.796592,-36.791482,1.45,328,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.796587,-36.791476,1.62,330,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.796583,-36.79147,1.28,331,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.796581,-36.791462,1.88,342,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.796577,-36.791456,1.17,337,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.796575,-36.791451,1.07,342,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.796573,-36.791443,1.88,350,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.796571,-36.791437,1.17,346,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.796568,-36.791433,0.92,339,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.796565,-36.791428,1.17,338,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.796562,-36.791424,1.07,321,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.796558,-36.791419,1.28,333,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.796555,-36.791414,1.34,330,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.796549,-36.79141,1.28,313,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.796543,-36.791406,1.34,316,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.796535,-36.791398,1.98,319,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.796527,-36.791393,1.88,311,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.796519,-36.791387,1.88,314,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.796513,-36.791379,1.83,327,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.796511,-36.791372,1.83,341,0,0,0,0,0,0,0,0,0,0
61,1575688801000,0,0,0,0,0,0,174.796509,-36.791366,1.34,342,0,0,0,0,0,0,0,0,0,0
62,1575688802000,0,0,0,0,0,0,174.796505,-36.791359,1.56,335,0,0,0,0,0,0,0,0,0,0
63,1575688803000,0,0,0,0,0,0,174.796501,-36.791353,1.28,335,0,0,0,0,0,0,0,0,0,0
64,1575688804000,0,0,0,0,0,0,174.796496,-36.791348,1.34,323,0,0,0,0,0,0,0,0,0,0
65,1575688805000,0,0,0,0,0,0,174.796493,-36.791341,1.83,342,0,0,0,0,0,0,0,0,0,0
66,1575688806000,0,0,0,0,0,0,174.796489,-36.791338,0.92,326,0,0,0,0,0,0,0,0,0,0
67,1575688807000,0,0,0,0,0,0,174.796485,-36.791332,1.72,333,0,0,0,0,0,0,0,0,0,0
68,1575688808000,0,0,0,0,0,0,174.796478,-36.791326,1.98,314,0,0,0,0,0,0,0,0,0,0
69,1575688809000,0,0,0,0,0,0,174.796466,-36.791321,2.47,304,0,0,0,0,0,0,0,0,0,0
70,1575688810000,0,0,0,0,0,0,174.79645,-36.791314,3.45,301,0,0,0,0,0,0,0,0,0,0
71,1575688811000,0,0,0,0,0,0,174.796422,-36.791308,5.83,284,0,0,0,0,0,0,0,0,0,0
72,1575688812000,0,0,0,0,0,0,174.79638,-36.791308,7.98,265,0,0,0,0,0,0,0,0,0,0
73,1575688813000,0,0,0,0,0,0,174.796334,-36.791321,8.64,247,0,0,0,0,0,0,0,0,0,0
74,1575688814000,0,0,0,0,0,0,174.796293,-36.791338,7.98,243,0,0,0,0,0,0,0,0,0,0
75,1575688815000,0,0,0,0,0,0,174.796257,-36.791356,6.79,237,0,0,0,0,0,0,0,0,0,0
76,1575688816000,0,0,0,0,0,0,174.796224,-36.791371,6.53,239,0,0,0,0,0,0,0,0,0,0
77,1575688817000,0,0,0,0,0,0,174.796193,-36.791388,6.53,237,0,0,0,0,0,0,0,0,0,0
78,1575688818000,0,0,0,0,0,0,174.796164,-36.791409,7.06,226,0,0,0,0,0,0,0,0,0,0
79,1575688819000,0,0,0,0,0,0,174.796143,-36.791434,6.36,210,0,0,0,0,0,0,0,0,0,0
80,1575688820000,0,0,0,0,0,0,174.796132,-36.791462,6.26,198,0,0,0,0,0,0,0,0,0,0
81,1575688821000,0,0,0,0,0,0,174.796128,-36.79149,5.83,184,0,0,0,0,0,0,0,0,0,0
82,1575688822000,0,0,0,0,0,0,174.796129,-36.791515,4.91,177,0,0,0,0,0,0,0,0,0,0
83,1575688823000,0,0,0,0,0,0,174.796134,-36.791538,4.91,171,0,0,0,0,0,0,0,0,0,0
84,1575688824000,0,0,0,0,0,0,174.79614,-36.79156,5.17,167,0,0,0,0,0,0,0,0,0,0
85,1575688825000,0,0,0,0,0,0,174.796148,-36.791582,5.45,167,0,0,0,0,0,0,0,0,0,0
86,1575688826000,0,0,0,0,0,0,174.796156,-36.791609,5.98,166,0,0,0,0,0,0,0,0,0,0
87,1575688827000,0,0,0,0,0,0,174.796167,-36.791635,6.09,162,0,0,0,0,0,0,0,0,0,0
88,1575688828000,0,0,0,0,0,0,174.796183,-36.791661,6.53,152,0,0,0,0,0,0,0,0,0,0
89,1575688829000,0,0,0,0,0,0,174.796208,-36.791686,7.17,141,0,0,0,0,0,0,0,0,0,0
90,1575688830000,0,0,0,0,0,0,174.79624,-36.791713,8.15,135,0,0,0,0,0,0,0,0,0,0
91,1575688831000,0,0,0,0,0,0,174.796275,-36.791736,7.87,129,0,0,0,0,0,0,0,0,0,0
92,1575688832000,0,0,0,0,0,0,174.796313,-36.791758,8.42,127,0,0,0,0,0,0,0,0,0,0
93,1575688833000,0,0,0,0,0,0,174.796352,-36.791783,8.68,128,0,0,0,0,0,0,0,0,0,0
94,1575688834000,0,0,0,0,0,0,174.79639,-36.791805,7.6,125,0,0,0,0,0,0,0,0,0,0
95,1575688835000,0,0,0,0,0,0,174.796426,-36.791825,7.55,122,0,0,0,0,0,0,0,0,0,0
96,1575688836000,0,0,0,0,0,0,174.796461,-36.791843,7.06,124,0,0,0,0,0,0,0,0,0,0
97,1575688837000,0,0,0,0,0,0,174.796498,-36.791861,7.6,120,0,0,0,0,0,0,0,0,0,0
98,1575688838000,0,0,0,0,0,0,174.796534,-36.791881,7.6,125,0,0,0,0,0,0,0,0,0,0
99,1575688839000,0,0,0,0,0,0,174.796569,-36.791904,8.09,130,0,0,0,0,0,0,0,0,0,0
100,1575688840000,0,0,0,0,0,0,174.796605,-36.791927,7.98,127,0,0,0,0,0,0,0,0,0,0
101,1575688841000,0,0,0,0,0,0,174.796643,-36.791948,8.15,125,0,0,0,0,0,0,0,0,0,0
102,1575688842000,0,0,0,0,0,0,174.796684,-36.791964,7.87,112,0,0,0,0,0,0,0,0,0,0
103,1575688843000,0,0,0,0,0,0,174.796726,-36.791961,6.9,82,0,0,0,0,0,0,0,0,0,0
104,1575688844000,0,0,0,0,0,0,174.796756,-36.791948,5.55,58,0,0,0,0,0,0,0,0,0,0
105,1575688845000,0,0,0,0,0,0,174.796772,-36.791935,3.23,48,0,0,0,0,0,0,0,0,0,0
106,1575688846000,0,0,0,0,0,0,174.796781,-36.791923,2.43,35,0,0,0,0,0,0,0,0,0,0
107,1575688847000,0,0,0,0,0,0,174.796786,-36.791915,1.72,31,0,0,0,0,0,0,0,0,0,0
108,1575688848000,0,0,0,0,0,0,174.796788,-36.791908,1.28,22,0,0,0,0,0,0,0,0,0,0
109,1575688849000,0,0,0,0,0,0,174.796786,-36.791903,1.62,2,0,0,0,0,0,0,0,0,0,0
110,1575688850000,0,0,0,0,0,0,174.79678,-36.791897,1.62,344,0,0,0,0,0,0,0,0,0,0
111,1575688851000,0,0,0,0,0,0,174.796778,-36.791888,2.15,351,0,0,0,0,0,0,0,0,0,0
112,1575688852000,0,0,0,0,0,0,174.796774,-36.791879,1.83,345,0,0,0,0,0,0,0,0,0,0
113,1575688853000,0,0,0,0,0,0,174.79677,-36.79187,1.88,341,0,0,0,0,0,0,0,0,0,0
114,1575688854000,0,0,0,0,0,0,174.796764,-36.791863,1.98,328,0,0,0,0,0,0,0,0,0,0
115,1575688855000,0,0,0,0,0,0,174.796758,-36.791856,1.72,329,0,0,0,0,0,0,0,0,0,0
116,1575688856000,0,0,0,0,0,0,174.796751,-36.791849,1.88,322,0,0,0,0,0,0,0,0,0,0
117,1575688857000,0,0,0,0,0,0,174.796745,-36.791843,1.72,325,0,0,0,0,0,0,0,0,0,0
118,1575688858000,0,0,0,0,0,0,174.796741,-36.791836,1.72,334,0,0,0,0,0,0,0,0,0,0
119,1575688859000,0,0,0,0,0,0,174.796735,-36.791829,1.83,319,0,0,0,0,0,0,0,0,0,0
120,1575688860000,0,0,0,0,0,0,174.796729,-36.791823,1.62,324,0,0,0,0,0,0,0,0,0,0
121,1575688861000,0,0,0,0,0,0,174.796726,-36.791818,1.07,322,0,0,0,0,0,0,0,0,0,0
122,1575688862000,0,0,0,0,0,0,174.796724,-36.791813,1.17,336,0,0,0,0,0,0,0,0,0,0
123,1575688863000,0,0,0,0,0,0,174.796721,-36.791808,1.34,333,0,0,0,0,0,0,0,0,0,0
124,1575688864000,0,0,0,0,0,0,174.796719,-36.791802,1.17,343,0,0,0,0,0,0,0,0,0,0
125,1575688865000,0,0,0,0,0,0,174.796717,-36.791797,0.96,342,0,0,0,0,0,0,0,0,0,0
126,1575688866000,0,0,0,0,0,0,174.796717,-36.791792,0.92,355,0,0,0,0,0,0,0,0,0,0
127,1575688867000,0,0,0,0,0,0,174.796715,-36.791788,0.85,344,0,0,0,0,0,0,0,0,0,0
128,1575688868000,0,0,0,0,0,0,174.796712,-36.791785,0.92,333,0,0,0,0,0,0,0,0,0,0
129,1575688869000,0,0,0,0,0,0,174.796709,-36.791781,0.92,332,0,0,0,0,0,0,0,0,0,0
130,1575688870000,0,0,0,0,0,0,174.796704,-36.791779,0.96,311,0,0,0,0,0,0,0,0,0,0
131,1575688871000,0,0,0,0,0,0,174.796701,-36.791775,1.07,326,0,0,0,0,0,0,0,0,0,0
132,1575688872000,0,0,0,0,0,0,174.796699,-36.79177,1.17,332,0,0,0,0,0,0,0,0,0,0
133,1575688873000,0,0,0,0,0,0,174.796695,-36.791767,0.92,318,0,0,0,0,0,0,0,0,0,0
134,1575688874000,0,0,0,0,0,0,174.79669,-36.791763,1.45,321,0,0,0,0,0,0,0,0,0,0
135,1575688875000,0,0,0,0,0,0,174.796685,-36.791759,0.96,316,0,0,0,0,0,0,0,0,0,0
136,1575688876000,0,0,0,0,0,0,174.79668,-36.791755,1.45,324,0,0,0,0,0,0,0,0,0,0
137,1575688877000,0,0,0,0,0,0,174.796673,-36.79175,1.62,310,0,0,0,0,0,0,0,0,0,0
138,1575688878000,0,0,0,0,0,0,174.796667,-36.791745,1.45,314,0,0,0,0,0,0,0,0,0,0
139,1575688879000,0,0,0,0,0,0,174.796659,-36.79174,2.11,307,0,0,0,0,0,0,0,0,0,0
140,1575688880000,0,0,0,0,0,0,174.79665,-36.791733,1.98,313,0,0,0,0,0,0,0,0,0,0
141,1575688881000,0,0,0,0,0,0,174.796642,-36.791726,2.15,314,0,0,0,0,0,0,0,0,0,0
142,1575688882000,0,0,0,0,0,0,174.796633,-36.791718,2.43,316,0,0,0,0,0,0,0,0,0,0
143,1575688883000,0,0,0,0,0,0,174.796625,-36.791707,2.91,329,0,0,0,0,0,0,0,0,0,0
144,1575688884000,0,0,0,0,0,0,174.796616,-36.791693,3.51,330,0,0,0,0,0,0,0,0,0,0
145,1575688885000,0,0,0,0,0,0,174.796604,-36.79168,3.17,323,0,0,0,0,0,0,0,0,0,0
146,1575688886000,0,0,0,0,0,0,174.796593,-36.791669,3.02,323,0,0,0,0,0,0,0,0,0,0
147,1575688887000,0,0,0,0,0,0,174.796584,-36.791655,3.56,328,0,0,0,0,0,0,0,0,0,0
148,1575688888000,0,0,0,0,0,0,174.796572,-36.791639,3.94,328,0,0,0,0,0,0,0,0,0,0
149,1575688889000,0,0,0,0,0,0,174.796561,-36.791624,3.51,328,0,0,0,0,0,0,0,0,0,0
150,1575688890000,0,0,0,0,0,0,174.796552,-36.791611,3.13,330,0,0,0,0,0,0,0,0,0,0
151,1575688891000,0,0,0,0,0,0,174.796542,-36.791598,3.23,327,0,0,0,0,0,0,0,0,0,0
152,1575688892000,0,0,0,0,0,0,174.796532,-36.791584,3.56,327,0,0,0,0,0,0,0,0,0,0
153,1575688893000,0,0,0,0,0,0,174.796517,-36.791571,3.72,316,0,0,0,0,0,0,0,0,0,0
154,1575688894000,0,0,0,0,0,0,174.7965,-36.79156,3.56,312,0,0,0,0,0,0,0,0,0,0
155,1575688895000,0,0,0,0,0,0,174.796483,-36.791546,4.47,315,0,0,0,0,0,0,0,0,0,0
156,1575688896000,0,0,0,0,0,0,174.796462,-36.791535,4.36,302,0,0,0,0,0,0,0,0,0,0
157,1575688897000,0,0,0,0,0,0,174.796435,-36.791529,5.28,285,0,0,0,0,0,0,0,0,0,0
158,1575688898000,0,0,0,0,0,0,174.796397,-36.791526,7.02,275,0,0,0,0,0,0,0,0,0,0
159,1575688899000,0,0,0,0,0,0,174.796351,-36.791529,8.53,263,0,0,0,0,0,0,0,0,0,0
160,1575688900000,0,0,0,0,0,0,174.796299,-36.791538,9.55,256,0,0,0,0,0,0,0,0,0,0
161,1575688901000,0,0,0,0,0,0,174.79624,-36.791545,10.64,262,0,0,0,0,0,0,0,0,0,0
162,1575688902000,0,0,0,0,0,0,174.796183,-36.791545,9.7,273,0,0,0,0,0,0,0,0,0,0
163,1575688903000,0,0,0,0,0,0,174.796129,-36.791534,9.77,286,0,0,0,0,0,0,0,0,0,0
164,1575688904000,0,0,0,0,0,0,174.79609,-36.791513,7.6,308,0,0,0,0,0,0,0,0,0,0
165,1575688905000,0,0,0,0,0,0,174.796069,-36.791493,4.85,319,0,0,0,0,0,0,0,0,0,0
166,1575688906000,0,0,0,0,0,0,174.796056,-36.791479,3.17,319,0,0,0,0,0,0,0,0,0,0
167,1575688907000,0,0,0,0,0,0,174.796047,-36.791469,2.58,319,0,0,0,0,0,0,0,0,0,0
168,1575688908000,0,0,0,0,0,0,174.796042,-36.791461,1.45,327,0,0,0,0,0,0,0,0,0,0
169,1575688909000,0,0,0,0,0,0,174.796039,-36.791456,0.81,332,0,0,0,0,0,0,0,0,0,0
170,1575688910000,0,0,0,0,0,0,174.796038,-36.791455,0.43,335,0,0,0,0,0,0,0,0,0,0
171,1575688911000,0,0,0,0,0,0,174.79604,-36.791454,0.32,335,0,0,0,0,0,0,0,0,0,0
172,1575688912000,0,0,0,0,0,0,174.796042,-36.791455,0.58,76,0,0,0,0,0,0,0,0,0,0
173,1575688913000,0,0,0,0,0,0,174.796045,-36.791458,0.92,142,0,0,0,0,0,0,0,0,0,0
174,1575688914000,0,0,0,0,0,0,174.796045,-36.791462,0.96,154,0,0,0,0,0,0,0,0,0,0
175,1575688915000,0,0,0,0,0,0,174.796047,-36.791466,0.85,159,0,0,0,0,0,0,0,0,0,0
176,1575688916000,0,0,0,0,0,0,174.796047,-36.79147,0.85,169,0,0,0,0,0,0,0,0,0,0
177,1575688917000,0,0,0,0,0,0,174.796048,-36.791474,0.92,172,0,0,0,0,0,0,0,0,0,0
178,1575688918000,0,0,0,0,0,0,174.796047,-36.791479,1.28,183,0,0,0,0,0,0,0,0,0,0
179,1575688919000,0,0,0,0,0,0,174.796047,-36.791485,1.17,180,0,0,0,0,0,0,0,0,0,0
180,1575688920000,0,0,0,0,0,0,174.796048,-36.791489,0.64,176,0,0,0,0,0,0,0,0,0,0
181,1575688921000,0,0,0,0,0,0,174.796049,-36.791492,0.7,172,0,0,0,0,0,0,0,0,0,0
182,1575688922000,0,0,0,0,0,0,174.796048,-36.791497,1.07,192,0,0,0,0,0,0,0,0,0,0
183,1575688923000,0,0,0,0,0,0,174.796046,-36.791501,0.7,195,0,0,0,0,0,0,0,0,0,0
