RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.797481,-36.791706,0.64,2,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.79748,-36.791706,0.32,2,0,0,0,0,0,0,0,0,0,0
3,1575688744000,0,0,0,0,0,0,174.797473,-36.79171,0.85,264,0,0,0,0,0,0,0,0,0,0
4,1575688745000,0,0,0,0,0,0,174.79747,-36.791711,0.43,254,0,0,0,0,0,0,0,0,0,0
5,1575688746000,0,0,0,0,0,0,174.797466,-36.791713,0.7,246,0,0,0,0,0,0,0,0,0,0
6,1575688747000,0,0,0,0,0,0,174.797463,-36.791714,0.58,246,0,0,0,0,0,0,0,0,0,0
7,1575688748000,0,0,0,0,0,0,174.797459,-36.791715,0.64,246,0,0,0,0,0,0,0,0,0,0
8,1575688749000,0,0,0,0,0,0,174.797456,-36.791715,0.43,246,0,0,0,0,0,0,0,0,0,0
9,1575688750000,0,0,0,0,0,0,174.797452,-36.791714,0.81,268,0,0,0,0,0,0,0,0,0,0
10,1575688751000,0,0,0,0,0,0,174.797451,-36.791713,0.32,268,0,0,0,0,0,0,0,0,0,0
11,1575688752000,0,0,0,0,0,0,174.797448,-36.791713,0.92,268,0,0,0,0,0,0,0,0,0,0
12,1575688755000,0,0,0,0,0,0,174.797442,-36.791712,0.92,252,0,0,0,0,0,0,0,0,0,0
13,1575688757000,0,0,0,0,0,0,174.797437,-36.791711,0.32,252,0,0,0,0,0,0,0,0,0,0
14,1575688758000,0,0,0,0,0,0,174.797434,-36.791712,0.58,252,0,0,0,0,0,0,0,0,0,0
15,1575688759000,0,0,0,0,0,0,174.79743,-36.791712,0.58,252,0,0,0,0,0,0,0,0,0,0
16,1575688761000,0,0,0,0,0,0,174.797428,-36.791715,0.32,252,0,0,0,0,0,0,0,0,0,0
17,1575688762000,0,0,0,0,0,0,174.797425,-36.791715,0.85,261,0,0,0,0,0,0,0,0,0,0
18,1575688764000,0,0,0,0,0,0,174.797419,-36.791718,0.43,237,0,0,0,0,0,0,0,0,0,0
19,1575688765000,0,0,0,0,0,0,174.79742,-36.791717,0.26,237,0,0,0,0,0,0,0,0,0,0
20,1575688766000,0,0,0,0,0,0,174.797417,-36.791719,1.17,222,0,0,0,0,0,0,0,0,0,0
21,1575688767000,0,0,0,0,0,0,174.797417,-36.791722,0.32,215,0,0,0,0,0,0,0,0,0,0
22,1575688768000,0,0,0,0,0,0,174.797415,-36.791724,0.58,210,0,0,0,0,0,0,0,0,0,0
23,1575688769000,0,0,0,0,0,0,174.797416,-36.791725,0.43,181,0,0,0,0,0,0,0,0,0,0
24,1575688770000,0,0,0,0,0,0,174.797416,-36.791728,0.64,185,0,0,0,0,0,0,0,0,0,0
25,1575688771000,0,0,0,0,0,0,174.797417,-36.791731,0.53,174,0,0,0,0,0,0,0,0,0,0
26,1575688772000,0,0,0,0,0,0,174.797417,-36.791733,0.64,182,0,0,0,0,0,0,0,0,0,0
27,1575688773000,0,0,0,0,0,0,174.797416,-36.791736,0.64,193,0,0,0,0,0,0,0,0,0,0
28,1575688774000,0,0,0,0,0,0,174.797417,-36.791739,0.64,178,0,0,0,0,0,0,0,0,0,0
29,1575688775000,0,0,0,0,0,0,174.797416,-36.791745,1.17,186,0,0,0,0,0,0,0,0,0,0
