RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.797132,-36.791725,1.07,326,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.797127,-36.791721,1.07,326,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.797124,-36.791713,1.83,340,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.79712,-36.791708,1.17,333,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.797114,-36.791704,1.07,330,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.79711,-36.7917,1.07,329,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.797108,-36.791695,0.92,340,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.797106,-36.791692,0.43,340,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.797101,-36.79169,0.64,333,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.7971,-36.79169,0.32,333,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.797101,-36.791688,0.53,333,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.7971,-36.791688,0.32,333,0,0,0,0,0,0,0,0,0,0
13,1575688754000,0,0,0,0,0,0,174.797102,-36.791684,0.43,13,0,0,0,0,0,0,0,0,0,0
14,1575688755000,0,0,0,0,0,0,174.7971,-36.791683,0.58,13,0,0,0,0,0,0,0,0,0,0
15,1575688756000,0,0,0,0,0,0,174.797099,-36.791686,0.64,37,0,0,0,0,0,0,0,0,0,0
16,1575688757000,0,0,0,0,0,0,174.797099,-36.791684,0.64,17,0,0,0,0,0,0,0,0,0,0
17,1575688759000,0,0,0,0,0,0,174.797091,-36.791691,0.21,229,0,0,0,0,0,0,0,0,0,0
18,1575688760000,0,0,0,0,0,0,174.797089,-36.79169,0.32,229,0,0,0,0,0,0,0,0,0,0
19,1575688761000,0,0,0,0,0,0,174.797088,-36.791688,0.92,251,0,0,0,0,0,0,0,0,0,0
20,1575688762000,0,0,0,0,0,0,174.797085,-36.791684,1.07,299,0,0,0,0,0,0,0,0,0,0
21,1575688763000,0,0,0,0,0,0,174.797081,-36.791682,1.07,303,0,0,0,0,0,0,0,0,0,0
22,1575688764000,0,0,0,0,0,0,174.797074,-36.791677,1.34,306,0,0,0,0,0,0,0,0,0,0
23,1575688765000,0,0,0,0,0,0,174.797069,-36.791672,1.34,314,0,0,0,0,0,0,0,0,0,0
24,1575688766000,0,0,0,0,0,0,174.797065,-36.791668,1.07,315,0,0,0,0,0,0,0,0,0,0
25,1575688767000,0,0,0,0,0,0,174.797062,-36.791662,1.62,326,0,0,0,0,0,0,0,0,0,0
26,1575688768000,0,0,0,0,0,0,174.797058,-36.791656,1.07,328,0,0,0,0,0,0,0,0,0,0
27,1575688769000,0,0,0,0,0,0,174.797053,-36.791651,0.85,332,0,0,0,0,0,0,0,0,0,0
28,1575688770000,0,0,0,0,0,0,174.797052,-36.791645,1.72,0,0,0,0,0,0,0,0,0,0,0
29,1575688772000,0,0,0,0,0,0,174.797048,-36.79164,0.58,357,0,0,0,0,0,0,0,0,0,0
30,1575688773000,0,0,0,0,0,0,174.797046,-36.791635,0.96,349,0,0,0,0,0,0,0,0,0,0
31,1575688774000,0,0,0,0,0,0,174.797044,-36.791633,0.58,349,0,0,0,0,0,0,0,0,0,0
32,1575688775000,0,0,0,0,0,0,174.797041,-36.791634,0.43,349,0,0,0,0,0,0,0,0,0,0
33,1575688776000,0,0,0,0,0,0,174.79704,-36.791633,0.53,351,0,0,0,0,0,0,0,0,0,0
34,1575688777000,0,0,0,0,0,0,174.79704,-36.791632,0.21,351,0,0,0,0,0,0,0,0,0,0
35,1575688778000,0,0,0,0,0,0,174.797038,-36.791631,0.43,351,0,0,0,0,0,0,0,0,0,0
36,1575688779000,0,0,0,0,0,0,174.797034,-36.791629,0.92,331,0,0,0,0,0,0,0,0,0,0
37,1575688781000,0,0,0,0,0,0,174.797033,-36.791624,0.7,348,0,0,0,0,0,0,0,0,0,0
38,1575688783000,0,0,0,0,0,0,174.797033,-36.791616,0.85,352,0,0,0,0,0,0,0,0,0,0
39,1575688784000,0,0,0,0,0,0,174.797033,-36.791612,0.81,2,0,0,0,0,0,0,0,0,0,0
40,1575688785000,0,0,0,0,0,0,174.797032,-36.791608,0.92,355,0,0,0,0,0,0,0,0,0,0
41,1575688786000,0,0,0,0,0,0,174.79703,-36.791605,0.64,355,0,0,0,0,0,0,0,0,0,0
42,1575688787000,0,0,0,0,0,0,174.797026,-36.791603,0.96,326,0,0,0,0,0,0,0,0,0,0
43,1575688790000,0,0,0,0,0,0,174.797023,-36.791598,0.21,326,0,0,0,0,0,0,0,0,0,0
44,1575688791000,0,0,0,0,0,0,174.797025,-36.791598,0.43,326,0,0,0,0,0,0,0,0,0,0
45,1575688792000,0,0,0,0,0,0,174.797029,-36.791597,0.92,349,0,0,0,0,0,0,0,0,0,0
46,1575688793000,0,0,0,0,0,0,174.797029,-36.791599,0.81,283,0,0,0,0,0,0,0,0,0,0
47,1575688795000,0,0,0,0,0,0,174.79703,-36.791602,0.58,229,0,0,0,0,0,0,0,0,0,0
48,1575688796000,0,0,0,0,0,0,174.797029,-36.791607,1.07,208,0,0,0,0,0,0,0,0,0,0
49,1575688797000,0,0,0,0,0,0,174.797025,-36.791613,1.45,200,0,0,0,0,0,0,0,0,0,0
50,1575688798000,0,0,0,0,0,0,174.797021,-36.791621,1.98,201,0,0,0,0,0,0,0,0,0,0
51,1575688799000,0,0,0,0,0,0,174.797018,-36.791628,1.34,201,0,0,0,0,0,0,0,0,0,0
52,1575688800000,0,0,0,0,0,0,174.797016,-36.791636,1.72,195,0,0,0,0,0,0,0,0,0,0
53,1575688801000,0,0,0,0,0,0,174.797016,-36.791643,1.28,189,0,0,0,0,0,0,0,0,0,0
54,1575688802000,0,0,0,0,0,0,174.797019,-36.791648,0.92,185,0,0,0,0,0,0,0,0,0,0
55,1575688803000,0,0,0,0,0,0,174.797019,-36.791651,0.43,193,0,0,0,0,0,0,0,0,0,0
56,1575688804000,0,0,0,0,0,0,174.797016,-36.791653,0.53,193,0,0,0,0,0,0,0,0,0,0
57,1575688805000,0,0,0,0,0,0,174.797011,-36.791652,0.81,243,0,0,0,0,0,0,0,0,0,0
58,1575688806000,0,0,0,0,0,0,174.79701,-36.791647,1.45,327,0,0,0,0,0,0,0,0,0,0
59,1575688807000,0,0,0,0,0,0,174.797004,-36.791642,1.72,329,0,0,0,0,0,0,0,0,0,0
60,1575688808000,0,0,0,0,0,0,174.796999,-36.791633,2.11,334,0,0,0,0,0,0,0,0,0,0
61,1575688809000,0,0,0,0,0,0,174.796995,-36.791623,2.15,338,0,0,0,0,0,0,0,0,0,0
62,1575688810000,0,0,0,0,0,0,174.796989,-36.791614,2.43,336,0,0,0,0,0,0,0,0,0,0
63,1575688811000,0,0,0,0,0,0,174.796985,-36.791601,2.69,343,0,0,0,0,0,0,0,0,0,0
64,1575688812000,0,0,0,0,0,0,174.796978,-36.79159,2.96,339,0,0,0,0,0,0,0,0,0,0
65,1575688813000,0,0,0,0,0,0,174.796973,-36.791575,3.45,344,0,0,0,0,0,0,0,0,0,0
66,1575688814000,0,0,0,0,0,0,174.796969,-36.791561,2.91,347,0,0,0,0,0,0,0,0,0,0
67,1575688815000,0,0,0,0,0,0,174.796961,-36.791545,4.09,337,0,0,0,0,0,0,0,0,0,0
68,1575688816000,0,0,0,0,0,0,174.796948,-36.791527,4.47,332,0,0,0,0,0,0,0,0,0,0
69,1575688817000,0,0,0,0,0,0,174.796933,-36.791506,5.17,332,0,0,0,0,0,0,0,0,0,0
70,1575688818000,0,0,0,0,0,0,174.796912,-36.791487,5.72,320,0,0,0,0,0,0,0,0,0,0
71,1575688819000,0,0,0,0,0,0,174.79689,-36.791467,5.98,320,0,0,0,0,0,0,0,0,0,0
72,1575688820000,0,0,0,0,0,0,174.796867,-36.791443,6.47,320,0,0,0,0,0,0,0,0,0,0
73,1575688821000,0,0,0,0,0,0,174.796839,-36.791421,7.17,315,0,0,0,0,0,0,0,0,0,0
74,1575688822000,0,0,0,0,0,0,174.796808,-36.791399,6.74,313,0,0,0,0,0,0,0,0,0,0
75,1575688823000,0,0,0,0,0,0,174.796781,-36.791376,6.79,316,0,0,0,0,0,0,0,0,0,0
76,1575688824000,0,0,0,0,0,0,174.796753,-36.791353,6.79,316,0,0,0,0,0,0,0,0,0,0
77,1575688825000,0,0,0,0,0,0,174.796725,-36.79133,7.06,315,0,0,0,0,0,0,0,0,0,0
78,1575688826000,0,0,0,0,0,0,174.79669,-36.79131,7.45,305,0,0,0,0,0,0,0,0,0,0
79,1575688827000,0,0,0,0,0,0,174.79665,-36.791293,7.98,297,0,0,0,0,0,0,0,0,0,0
80,1575688828000,0,0,0,0,0,0,174.79661,-36.791277,7.6,295,0,0,0,0,0,0,0,0,0,0
81,1575688829000,0,0,0,0,0,0,174.796571,-36.791264,7.45,293,0,0,0,0,0,0,0,0,0,0
82,1575688830000,0,0,0,0,0,0,174.796532,-36.79125,7.72,294,0,0,0,0,0,0,0,0,0,0
83,1575688831000,0,0,0,0,0,0,174.796493,-36.791235,7.45,296,0,0,0,0,0,0,0,0,0,0
84,1575688832000,0,0,0,0,0,0,174.796457,-36.791218,7.45,301,0,0,0,0,0,0,0,0,0,0
85,1575688833000,0,0,0,0,0,0,174.796417,-36.791199,8.42,300,0,0,0,0,0,0,0,0,0,0
86,1575688834000,0,0,0,0,0,0,174.796376,-36.791181,8.09,297,0,0,0,0,0,0,0,0,0,0
87,1575688835000,0,0,0,0,0,0,174.796332,-36.791168,8.26,290,0,0,0,0,0,0,0,0,0,0
88,1575688836000,0,0,0,0,0,0,174.796285,-36.791155,8.68,289,0,0,0,0,0,0,0,0,0,0
89,1575688837000,0,0,0,0,0,0,174.796236,-36.791147,8.96,281,0,0,0,0,0,0,0,0,0,0
90,1575688838000,0,0,0,0,0,0,174.796187,-36.791141,8.53,279,0,0,0,0,0,0,0,0,0,0
91,1575688839000,0,0,0,0,0,0,174.796137,-36.791137,8.9,276,0,0,0,0,0,0,0,0,0,0
92,1575688840000,0,0,0,0,0,0,174.796085,-36.791139,9.28,266,0,0,0,0,0,0,0,0,0,0
93,1575688841000,0,0,0,0,0,0,174.79603,-36.791145,9.6,262,0,0,0,0,0,0,0,0,0,0
