RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796219,-36.791471,1.56,317,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796215,-36.791465,1.45,326,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796211,-36.79146,1.45,318,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796206,-36.791455,1.62,333,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796203,-36.791449,1.17,331,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.7962,-36.791443,1.45,335,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796197,-36.791436,1.56,337,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796191,-36.791432,1.34,323,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796188,-36.791426,1.45,340,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796184,-36.79142,1.62,329,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.79618,-36.791414,1.56,336,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796176,-36.791408,1.45,333,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796174,-36.791402,1.17,337,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.79617,-36.791399,0.96,322,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796166,-36.791393,1.62,334,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796162,-36.791388,1.07,330,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.796154,-36.791384,1.28,307,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.79615,-36.791378,1.62,325,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796146,-36.791372,1.45,326,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.79614,-36.791367,1.34,323,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796137,-36.791362,1.34,328,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796136,-36.791356,1.62,345,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796134,-36.791351,1.17,330,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796131,-36.791346,1.17,342,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796129,-36.791339,1.72,348,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796126,-36.791335,0.92,342,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796124,-36.791331,1.07,346,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796121,-36.791326,1.34,343,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796119,-36.791321,0.92,341,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796116,-36.791317,1.34,341,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796112,-36.791312,1.28,334,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796108,-36.791307,1.17,333,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796104,-36.7913,1.72,335,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796099,-36.791294,1.45,333,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796095,-36.791287,1.72,335,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.79609,-36.79128,1.72,333,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.796088,-36.791272,1.72,342,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.796085,-36.791266,1.34,337,0,0,0,0,0,0,0,0,0,0
39,1575688780000,0,0,0,0,0,0,174.79608,-36.791256,1.28,338,0,0,0,0,0,0,0,0,0,0
40,1575688781000,0,0,0,0,0,0,174.796076,-36.791251,1.56,337,0,0,0,0,0,0,0,0,0,0
41,1575688782000,0,0,0,0,0,0,174.796069,-36.79124,2.85,335,0,0,0,0,0,0,0,0,0,0
42,1575688783000,0,0,0,0,0,0,174.796056,-36.791231,2.69,320,0,0,0,0,0,0,0,0,0,0
43,1575688784000,0,0,0,0,0,0,174.796038,-36.791225,3.39,299,0,0,0,0,0,0,0,0,0,0
44,1575688785000,0,0,0,0,0,0,174.796016,-36.791217,4.36,292,0,0,0,0,0,0,0,0,0,0
45,1575688786000,0,0,0,0,0,0,174.79599,-36.791211,4.64,286,0,0,0,0,0,0,0,0,0,0
46,1575688787000,0,0,0,0,0,0,174.795964,-36.791206,4.64,280,0,0,0,0,0,0,0,0,0,0
47,1575688788000,0,0,0,0,0,0,174.795937,-36.791202,4.47,278,0,0,0,0,0,0,0,0,0,0
48,1575688789000,0,0,0,0,0,0,174.795913,-36.791197,4.09,280,0,0,0,0,0,0,0,0,0,0
49,1575688790000,0,0,0,0,0,0,174.795886,-36.791191,4.85,280,0,0,0,0,0,0,0,0,0,0
50,1575688791000,0,0,0,0,0,0,174.795855,-36.791188,5.55,274,0,0,0,0,0,0,0,0,0,0
