RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796101,-36.792741,3.94,50,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796121,-36.792727,4.75,47,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796141,-36.792712,4.64,48,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796161,-36.792699,4.47,50,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796178,-36.792686,4.32,47,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796196,-36.792675,3.51,55,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796213,-36.792664,4.04,50,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796231,-36.792653,3.56,54,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796251,-36.792642,4.64,54,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796275,-36.792628,4.91,55,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796298,-36.792617,4.91,56,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796323,-36.792603,5.28,56,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796348,-36.792592,4.91,60,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796373,-36.792582,4.64,63,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796401,-36.792571,5.55,61,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.79643,-36.792558,5.72,60,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.79646,-36.792545,5.94,61,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796487,-36.792533,5.28,62,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796518,-36.79252,6.26,62,0,0,0,0,0,0,0,0,0,0
