RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796648,-36.791674,2.58,335,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.79664,-36.791664,2.43,335,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796635,-36.791654,2.47,339,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.79663,-36.791641,2.96,344,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796627,-36.79163,2.37,347,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796623,-36.791619,2.37,348,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796619,-36.791612,1.72,344,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796616,-36.791604,1.62,347,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796616,-36.791598,1.34,349,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796614,-36.791593,1.28,350,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796611,-36.791586,1.45,344,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796608,-36.791581,1.07,344,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796604,-36.791578,0.64,344,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796603,-36.791574,1.07,345,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.7966,-36.79157,1.17,335,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796597,-36.791568,0.64,335,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.79659,-36.791565,1.17,325,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796589,-36.791558,1.45,358,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796587,-36.791554,1.07,347,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796584,-36.791551,0.7,347,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796582,-36.791548,0.85,356,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.79658,-36.791547,0.64,344,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796579,-36.791542,1.56,352,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796575,-36.791539,0.64,337,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796574,-36.791536,0.92,7,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796575,-36.791533,0.43,7,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796571,-36.791532,0.85,340,0,0,0,0,0,0,0,0,0,0
28,1575688769000,0,0,0,0,0,0,174.796571,-36.791529,0.32,19,0,0,0,0,0,0,0,0,0,0
29,1575688770000,0,0,0,0,0,0,174.796568,-36.791528,0.32,19,0,0,0,0,0,0,0,0,0,0
30,1575688771000,0,0,0,0,0,0,174.796565,-36.791528,0.43,19,0,0,0,0,0,0,0,0,0,0
31,1575688772000,0,0,0,0,0,0,174.796562,-36.791525,0.64,19,0,0,0,0,0,0,0,0,0,0
32,1575688773000,0,0,0,0,0,0,174.79656,-36.791524,0.32,19,0,0,0,0,0,0,0,0,0,0
33,1575688774000,0,0,0,0,0,0,174.796559,-36.791522,0.32,19,0,0,0,0,0,0,0,0,0,0
34,1575688775000,0,0,0,0,0,0,174.796557,-36.791522,0.21,19,0,0,0,0,0,0,0,0,0,0
35,1575688777000,0,0,0,0,0,0,174.796556,-36.791527,0.15,112,0,0,0,0,0,0,0,0,0,0
36,1575688778000,0,0,0,0,0,0,174.796557,-36.791527,0.15,112,0,0,0,0,0,0,0,0,0,0
37,1575688779000,0,0,0,0,0,0,174.796558,-36.79153,0.92,142,0,0,0,0,0,0,0,0,0,0
38,1575688780000,0,0,0,0,0,0,174.79656,-36.791534,0.7,142,0,0,0,0,0,0,0,0,0,0
39,1575688781000,0,0,0,0,0,0,174.79656,-36.791534,0.53,142,0,0,0,0,0,0,0,0,0,0
40,1575688782000,0,0,0,0,0,0,174.796555,-36.791535,0.92,142,0,0,0,0,0,0,0,0,0,0
41,1575688783000,0,0,0,0,0,0,174.796553,-36.791532,0.64,142,0,0,0,0,0,0,0,0,0,0
42,1575688784000,0,0,0,0,0,0,174.796552,-36.791535,0.58,154,0,0,0,0,0,0,0,0,0,0
43,1575688785000,0,0,0,0,0,0,174.796551,-36.791539,0.64,179,0,0,0,0,0,0,0,0,0,0
44,1575688786000,0,0,0,0,0,0,174.796553,-36.791541,0.64,158,0,0,0,0,0,0,0,0,0,0
45,1575688787000,0,0,0,0,0,0,174.796553,-36.791546,1.45,183,0,0,0,0,0,0,0,0,0,0
46,1575688788000,0,0,0,0,0,0,174.796554,-36.791551,0.7,177,0,0,0,0,0,0,0,0,0,0
47,1575688789000,0,0,0,0,0,0,174.796556,-36.791552,0.43,177,0,0,0,0,0,0,0,0,0,0
48,1575688791000,0,0,0,0,0,0,174.796554,-36.791554,0.85,199,0,0,0,0,0,0,0,0,0,0
49,1575688792000,0,0,0,0,0,0,174.796554,-36.791558,0.7,183,0,0,0,0,0,0,0,0,0,0
50,1575688794000,0,0,0,0,0,0,174.796554,-36.791563,0.58,183,0,0,0,0,0,0,0,0,0,0
51,1575688795000,0,0,0,0,0,0,174.796557,-36.791568,1.17,175,0,0,0,0,0,0,0,0,0,0
52,1575688796000,0,0,0,0,0,0,174.796557,-36.791572,0.64,173,0,0,0,0,0,0,0,0,0,0
53,1575688797000,0,0,0,0,0,0,174.796559,-36.791578,1.45,166,0,0,0,0,0,0,0,0,0,0
54,1575688798000,0,0,0,0,0,0,174.79656,-36.791584,1.17,168,0,0,0,0,0,0,0,0,0,0
