RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.795811,-36.791514,1.83,338,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.795806,-36.791505,1.98,338,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795803,-36.791501,0.96,338,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.7958,-36.791496,1.45,345,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.795797,-36.791489,1.17,341,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795793,-36.791485,0.92,332,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.795792,-36.79148,1.07,346,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795789,-36.791474,1.34,344,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.795793,-36.791469,1.56,1,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.795796,-36.791467,0.92,359,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.795791,-36.791464,1.45,328,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.795788,-36.791458,1.45,326,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.795782,-36.791453,1.17,321,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.795779,-36.791447,1.56,334,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.795774,-36.791441,1.83,322,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.79577,-36.791439,0.58,322,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.795772,-36.79143,1.62,355,0,0,0,0,0,0,0,0,0,0
18,1575688759000,0,0,0,0,0,0,174.795773,-36.791422,0.32,354,0,0,0,0,0,0,0,0,0,0
19,1575688760000,0,0,0,0,0,0,174.795774,-36.791421,0.81,349,0,0,0,0,0,0,0,0,0,0
20,1575688761000,0,0,0,0,0,0,174.795773,-36.791417,1.07,5,0,0,0,0,0,0,0,0,0,0
21,1575688762000,0,0,0,0,0,0,174.795772,-36.791412,1.07,347,0,0,0,0,0,0,0,0,0,0
22,1575688763000,0,0,0,0,0,0,174.795768,-36.791411,0.58,347,0,0,0,0,0,0,0,0,0,0
23,1575688764000,0,0,0,0,0,0,174.795768,-36.791408,1.07,10,0,0,0,0,0,0,0,0,0,0
24,1575688765000,0,0,0,0,0,0,174.795768,-36.791408,0.64,10,0,0,0,0,0,0,0,0,0,0
25,1575688766000,0,0,0,0,0,0,174.795767,-36.791406,0.43,10,0,0,0,0,0,0,0,0,0,0
26,1575688767000,0,0,0,0,0,0,174.795765,-36.791404,0.64,10,0,0,0,0,0,0,0,0,0,0
27,1575688768000,0,0,0,0,0,0,174.795762,-36.791401,0.96,354,0,0,0,0,0,0,0,0,0,0
28,1575688769000,0,0,0,0,0,0,174.795761,-36.791395,1.07,350,0,0,0,0,0,0,0,0,0,0
29,1575688770000,0,0,0,0,0,0,174.795758,-36.791391,0.92,342,0,0,0,0,0,0,0,0,0,0
30,1575688771000,0,0,0,0,0,0,174.795756,-36.791389,0.81,340,0,0,0,0,0,0,0,0,0,0
31,1575688772000,0,0,0,0,0,0,174.795756,-36.791384,1.17,353,0,0,0,0,0,0,0,0,0,0
32,1575688773000,0,0,0,0,0,0,174.795755,-36.791381,0.92,353,0,0,0,0,0,0,0,0,0,0
33,1575688774000,0,0,0,0,0,0,174.795753,-36.791376,1.07,353,0,0,0,0,0,0,0,0,0,0
34,1575688775000,0,0,0,0,0,0,174.795752,-36.791373,0.64,353,0,0,0,0,0,0,0,0,0,0
35,1575688776000,0,0,0,0,0,0,174.795751,-36.791365,1.72,0,0,0,0,0,0,0,0,0,0,0
36,1575688777000,0,0,0,0,0,0,174.795749,-36.791362,0.7,0,0,0,0,0,0,0,0,0,0,0
37,1575688778000,0,0,0,0,0,0,174.795744,-36.791358,0.92,353,0,0,0,0,0,0,0,0,0,0
38,1575688779000,0,0,0,0,0,0,174.795741,-36.791354,1.07,346,0,0,0,0,0,0,0,0,0,0
39,1575688780000,0,0,0,0,0,0,174.795738,-36.791352,0.81,346,0,0,0,0,0,0,0,0,0,0
40,1575688781000,0,0,0,0,0,0,174.795738,-36.79135,0.43,346,0,0,0,0,0,0,0,0,0,0
41,1575688782000,0,0,0,0,0,0,174.795737,-36.791347,0.64,343,0,0,0,0,0,0,0,0,0,0
42,1575688783000,0,0,0,0,0,0,174.795736,-36.791346,0.21,343,0,0,0,0,0,0,0,0,0,0
43,1575688784000,0,0,0,0,0,0,174.795732,-36.791347,0.81,311,0,0,0,0,0,0,0,0,0,0
44,1575688785000,0,0,0,0,0,0,174.795731,-36.791347,0.21,311,0,0,0,0,0,0,0,0,0,0
45,1575688786000,0,0,0,0,0,0,174.795731,-36.791349,0.43,311,0,0,0,0,0,0,0,0,0,0
46,1575688787000,0,0,0,0,0,0,174.79573,-36.791352,0.58,311,0,0,0,0,0,0,0,0,0,0
47,1575688788000,0,0,0,0,0,0,174.795726,-36.791354,0.7,278,0,0,0,0,0,0,0,0,0,0
48,1575688789000,0,0,0,0,0,0,174.795726,-36.791357,0.92,213,0,0,0,0,0,0,0,0,0,0
49,1575688790000,0,0,0,0,0,0,174.795726,-36.791359,0.32,213,0,0,0,0,0,0,0,0,0,0
50,1575688791000,0,0,0,0,0,0,174.795726,-36.791361,1.07,204,0,0,0,0,0,0,0,0,0,0
51,1575688792000,0,0,0,0,0,0,174.795723,-36.791364,0.64,204,0,0,0,0,0,0,0,0,0,0
52,1575688793000,0,0,0,0,0,0,174.795723,-36.791365,0.43,204,0,0,0,0,0,0,0,0,0,0
53,1575688794000,0,0,0,0,0,0,174.795723,-36.791365,0.32,204,0,0,0,0,0,0,0,0,0,0
54,1575688795000,0,0,0,0,0,0,174.795722,-36.79137,0.32,204,0,0,0,0,0,0,0,0,0,0
