RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796678,-36.791314,0.43,196,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796677,-36.791317,0.7,195,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796677,-36.791321,0.85,191,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796674,-36.791323,0.43,207,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796672,-36.791323,0.32,207,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.79667,-36.791323,0.58,241,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796667,-36.791322,0.58,269,0,0,0,0,0,0,0,0,0,0
8,1575688749000,0,0,0,0,0,0,174.796652,-36.791315,1.98,301,0,0,0,0,0,0,0,0,0,0
9,1575688750000,0,0,0,0,0,0,174.796642,-36.791307,2.69,312,0,0,0,0,0,0,0,0,0,0
10,1575688751000,0,0,0,0,0,0,174.796628,-36.791298,3.23,309,0,0,0,0,0,0,0,0,0,0
11,1575688752000,0,0,0,0,0,0,174.796614,-36.791282,4.64,325,0,0,0,0,0,0,0,0,0,0
12,1575688753000,0,0,0,0,0,0,174.796593,-36.791265,5.17,315,0,0,0,0,0,0,0,0,0,0
13,1575688754000,0,0,0,0,0,0,174.796566,-36.791246,6.64,312,0,0,0,0,0,0,0,0,0,0
14,1575688755000,0,0,0,0,0,0,174.796535,-36.791223,7.6,311,0,0,0,0,0,0,0,0,0,0
15,1575688756000,0,0,0,0,0,0,174.796505,-36.791198,7.34,319,0,0,0,0,0,0,0,0,0,0
16,1575688757000,0,0,0,0,0,0,174.796478,-36.791175,6.64,317,0,0,0,0,0,0,0,0,0,0
17,1575688758000,0,0,0,0,0,0,174.796455,-36.791147,7.34,326,0,0,0,0,0,0,0,0,0,0
18,1575688759000,0,0,0,0,0,0,174.796437,-36.791121,6.2,331,0,0,0,0,0,0,0,0,0,0
19,1575688760000,0,0,0,0,0,0,174.796423,-36.791095,6.36,335,0,0,0,0,0,0,0,0,0,0
20,1575688761000,0,0,0,0,0,0,174.796402,-36.791071,6.47,324,0,0,0,0,0,0,0,0,0,0
21,1575688762000,0,0,0,0,0,0,174.796379,-36.791047,6.26,324,0,0,0,0,0,0,0,0,0,0
22,1575688763000,0,0,0,0,0,0,174.796359,-36.791023,6.26,326,0,0,0,0,0,0,0,0,0,0
23,1575688764000,0,0,0,0,0,0,174.796339,-36.791001,5.72,324,0,0,0,0,0,0,0,0,0,0
24,1575688765000,0,0,0,0,0,0,174.796318,-36.79098,5.83,321,0,0,0,0,0,0,0,0,0,0
25,1575688766000,0,0,0,0,0,0,174.796296,-36.790961,5.39,316,0,0,0,0,0,0,0,0,0,0
26,1575688767000,0,0,0,0,0,0,174.796277,-36.790942,5.17,322,0,0,0,0,0,0,0,0,0,0
27,1575688768000,0,0,0,0,0,0,174.796263,-36.790921,5.28,330,0,0,0,0,0,0,0,0,0,0
28,1575688769000,0,0,0,0,0,0,174.796252,-36.7909,4.75,338,0,0,0,0,0,0,0,0,0,0
29,1575688770000,0,0,0,0,0,0,174.796246,-36.790879,4.75,346,0,0,0,0,0,0,0,0,0,0
30,1575688771000,0,0,0,0,0,0,174.796239,-36.790858,4.58,346,0,0,0,0,0,0,0,0,0,0
31,1575688772000,0,0,0,0,0,0,174.796234,-36.790838,4.36,346,0,0,0,0,0,0,0,0,0,0
32,1575688773000,0,0,0,0,0,0,174.796226,-36.790816,5.02,344,0,0,0,0,0,0,0,0,0,0
33,1575688774000,0,0,0,0,0,0,174.796218,-36.790795,4.64,342,0,0,0,0,0,0,0,0,0,0
34,1575688775000,0,0,0,0,0,0,174.796208,-36.790775,4.58,338,0,0,0,0,0,0,0,0,0,0
35,1575688776000,0,0,0,0,0,0,174.796195,-36.790758,4.36,328,0,0,0,0,0,0,0,0,0,0
36,1575688777000,0,0,0,0,0,0,174.796181,-36.790741,4.47,329,0,0,0,0,0,0,0,0,0,0
37,1575688778000,0,0,0,0,0,0,174.796165,-36.790725,4.32,321,0,0,0,0,0,0,0,0,0,0
38,1575688779000,0,0,0,0,0,0,174.796148,-36.790708,5.02,321,0,0,0,0,0,0,0,0,0,0
39,1575688780000,0,0,0,0,0,0,174.79613,-36.79069,4.75,321,0,0,0,0,0,0,0,0,0,0
40,1575688781000,0,0,0,0,0,0,174.796111,-36.790675,4.32,315,0,0,0,0,0,0,0,0,0,0
41,1575688782000,0,0,0,0,0,0,174.796093,-36.790658,5.02,319,0,0,0,0,0,0,0,0,0,0
42,1575688783000,0,0,0,0,0,0,174.796071,-36.790641,5.45,309,0,0,0,0,0,0,0,0,0,0
43,1575688784000,0,0,0,0,0,0,174.796043,-36.790623,6.36,308,0,0,0,0,0,0,0,0,0,0
44,1575688785000,0,0,0,0,0,0,174.796011,-36.790606,6.74,300,0,0,0,0,0,0,0,0,0,0
45,1575688786000,0,0,0,0,0,0,174.795972,-36.79059,7.98,296,0,0,0,0,0,0,0,0,0,0
46,1575688787000,0,0,0,0,0,0,174.795925,-36.790579,8.68,283,0,0,0,0,0,0,0,0,0,0
47,1575688788000,0,0,0,0,0,0,174.79587,-36.790586,10.09,257,0,0,0,0,0,0,0,0,0,0
48,1575688789000,0,0,0,0,0,0,174.795818,-36.790606,10.36,240,0,0,0,0,0,0,0,0,0,0
49,1575688790000,0,0,0,0,0,0,174.795768,-36.790635,10.68,233,0,0,0,0,0,0,0,0,0,0
50,1575688791000,0,0,0,0,0,0,174.795721,-36.790662,9.55,233,0,0,0,0,0,0,0,0,0,0
51,1575688792000,0,0,0,0,0,0,174.79568,-36.790689,8.9,229,0,0,0,0,0,0,0,0,0,0
52,1575688793000,0,0,0,0,0,0,174.795636,-36.790716,10.04,234,0,0,0,0,0,0,0,0,0,0
53,1575688794000,0,0,0,0,0,0,174.795593,-36.79074,8.9,235,0,0,0,0,0,0,0,0,0,0
54,1575688795000,0,0,0,0,0,0,174.79555,-36.790764,9.0,235,0,0,0,0,0,0,0,0,0,0
55,1575688796000,0,0,0,0,0,0,174.795508,-36.790788,9.0,234,0,0,0,0,0,0,0,0,0,0
56,1575688797000,0,0,0,0,0,0,174.795468,-36.790812,8.64,233,0,0,0,0,0,0,0,0,0,0
57,1575688798000,0,0,0,0,0,0,174.795432,-36.790833,7.34,233,0,0,0,0,0,0,0,0,0,0
58,1575688799000,0,0,0,0,0,0,174.795401,-36.790854,7.02,228,0,0,0,0,0,0,0,0,0,0
59,1575688800000,0,0,0,0,0,0,174.795379,-36.790878,5.98,214,0,0,0,0,0,0,0,0,0,0
60,1575688801000,0,0,0,0,0,0,174.795368,-36.790903,5.83,195,0,0,0,0,0,0,0,0,0,0
61,1575688802000,0,0,0,0,0,0,174.79537,-36.790928,5.28,176,0,0,0,0,0,0,0,0,0,0
62,1575688803000,0,0,0,0,0,0,174.795377,-36.790948,4.26,166,0,0,0,0,0,0,0,0,0,0
63,1575688804000,0,0,0,0,0,0,174.795389,-36.790963,4.04,152,0,0,0,0,0,0,0,0,0,0
64,1575688805000,0,0,0,0,0,0,174.795403,-36.790975,3.56,146,0,0,0,0,0,0,0,0,0,0
65,1575688806000,0,0,0,0,0,0,174.795419,-36.79099,4.47,140,0,0,0,0,0,0,0,0,0,0
66,1575688807000,0,0,0,0,0,0,174.795437,-36.791005,4.47,136,0,0,0,0,0,0,0,0,0,0
67,1575688808000,0,0,0,0,0,0,174.795454,-36.791021,4.58,138,0,0,0,0,0,0,0,0,0,0
68,1575688809000,0,0,0,0,0,0,174.795475,-36.791038,5.55,134,0,0,0,0,0,0,0,0,0,0
69,1575688810000,0,0,0,0,0,0,174.7955,-36.791055,6.09,134,0,0,0,0,0,0,0,0,0,0
70,1575688811000,0,0,0,0,0,0,174.795526,-36.791081,7.6,141,0,0,0,0,0,0,0,0,0,0
71,1575688812000,0,0,0,0,0,0,174.795558,-36.791109,8.74,136,0,0,0,0,0,0,0,0,0,0
