RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.795714,-36.790965,2.15,329,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.795708,-36.790954,2.75,334,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795702,-36.790944,2.11,334,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.795694,-36.790934,3.13,330,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.795686,-36.790924,2.21,327,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795678,-36.790917,1.83,324,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.795673,-36.790908,2.21,331,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795674,-36.790898,2.15,354,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.795682,-36.790898,1.88,38,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.79569,-36.790899,1.17,55,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.795701,-36.790902,2.15,93,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.795716,-36.790906,2.64,102,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.795736,-36.790909,3.28,94,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.795757,-36.790907,3.39,90,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.795777,-36.790905,3.45,85,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.795798,-36.790904,3.45,86,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.795823,-36.790906,4.58,91,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.795851,-36.790911,4.85,97,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.79588,-36.790916,5.02,102,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.79591,-36.790925,5.28,107,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.795943,-36.790938,6.36,114,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.795975,-36.790958,7.28,126,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796006,-36.790978,6.36,125,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796039,-36.790993,6.53,122,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796073,-36.791011,6.79,120,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.79611,-36.791022,6.64,109,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796147,-36.791032,6.53,108,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796181,-36.791039,6.09,105,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796213,-36.791048,5.72,107,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796245,-36.791058,6.09,110,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796277,-36.791071,5.98,113,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796306,-36.791087,5.72,118,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796334,-36.791098,5.39,116,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796364,-36.791109,5.66,114,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796394,-36.791119,5.45,112,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.796423,-36.791129,5.55,113,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.796452,-36.791141,5.45,116,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.796477,-36.791154,5.17,120,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.796505,-36.791168,5.83,121,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.796536,-36.79118,5.94,116,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.796565,-36.791192,5.28,117,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.796591,-36.791204,5.13,117,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.796618,-36.791218,5.45,118,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.796647,-36.79123,5.72,117,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.796674,-36.791241,5.13,113,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.796702,-36.791252,5.39,116,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.796728,-36.791261,5.02,111,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.796758,-36.791266,5.45,104,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.796793,-36.791274,6.26,106,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.796828,-36.791288,6.79,113,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.796863,-36.791304,7.06,114,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.796899,-36.791317,6.74,115,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.796931,-36.791328,5.98,111,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.796961,-36.791336,5.17,109,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.796991,-36.791347,6.26,111,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.797021,-36.791363,6.64,120,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.797055,-36.791384,7.17,125,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.797088,-36.791405,7.28,129,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.797121,-36.791427,7.45,130,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.797155,-36.791449,7.45,128,0,0,0,0,0,0,0,0,0,0
61,1575688801000,0,0,0,0,0,0,174.797187,-36.791469,6.9,126,0,0,0,0,0,0,0,0,0,0
62,1575688802000,0,0,0,0,0,0,174.797219,-36.791489,7.17,126,0,0,0,0,0,0,0,0,0,0
63,1575688803000,0,0,0,0,0,0,174.797254,-36.791509,7.28,125,0,0,0,0,0,0,0,0,0,0
64,1575688804000,0,0,0,0,0,0,174.797284,-36.791528,6.36,127,0,0,0,0,0,0,0,0,0,0
65,1575688805000,0,0,0,0,0,0,174.797314,-36.791548,6.79,127,0,0,0,0,0,0,0,0,0,0
66,1575688806000,0,0,0,0,0,0,174.797346,-36.791565,6.9,127,0,0,0,0,0,0,0,0,0,0
67,1575688807000,0,0,0,0,0,0,174.797379,-36.791587,7.45,130,0,0,0,0,0,0,0,0,0,0
68,1575688808000,0,0,0,0,0,0,174.79741,-36.791614,7.55,136,0,0,0,0,0,0,0,0,0,0
69,1575688809000,0,0,0,0,0,0,174.797441,-36.791638,7.34,131,0,0,0,0,0,0,0,0,0,0
70,1575688810000,0,0,0,0,0,0,174.797475,-36.791661,7.72,130,0,0,0,0,0,0,0,0,0,0
71,1575688811000,0,0,0,0,0,0,174.797508,-36.791686,7.98,133,0,0,0,0,0,0,0,0,0,0
72,1575688812000,0,0,0,0,0,0,174.797539,-36.791718,9.06,141,0,0,0,0,0,0,0,0,0,0
73,1575688813000,0,0,0,0,0,0,174.797568,-36.791755,9.77,147,0,0,0,0,0,0,0,0,0,0
74,1575688814000,0,0,0,0,0,0,174.797595,-36.791795,9.55,150,0,0,0,0,0,0,0,0,0,0
75,1575688815000,0,0,0,0,0,0,174.797623,-36.791833,9.55,148,0,0,0,0,0,0,0,0,0,0
76,1575688816000,0,0,0,0,0,0,174.797651,-36.791868,8.96,148,0,0,0,0,0,0,0,0,0,0
77,1575688817000,0,0,0,0,0,0,174.797676,-36.791905,9.28,151,0,0,0,0,0,0,0,0,0,0
78,1575688818000,0,0,0,0,0,0,174.797695,-36.791944,9.06,160,0,0,0,0,0,0,0,0,0,0
79,1575688819000,0,0,0,0,0,0,174.797707,-36.791979,7.17,163,0,0,0,0,0,0,0,0,0,0
80,1575688820000,0,0,0,0,0,0,174.797719,-36.792003,5.17,158,0,0,0,0,0,0,0,0,0,0
81,1575688821000,0,0,0,0,0,0,174.797729,-36.792022,3.77,157,0,0,0,0,0,0,0,0,0,0
82,1575688822000,0,0,0,0,0,0,174.797741,-36.792043,5.55,156,0,0,0,0,0,0,0,0,0,0
