RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.795531,-36.791093,4.21,166,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.795538,-36.791112,4.36,165,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795546,-36.791132,5.02,162,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.795559,-36.791155,5.66,156,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.795576,-36.791176,5.28,144,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795594,-36.791193,4.47,140,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.795617,-36.791205,5.13,123,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795642,-36.791216,5.02,119,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.795667,-36.791229,5.28,125,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.79569,-36.791244,5.17,129,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.795714,-36.79126,5.55,128,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.79574,-36.791276,5.72,127,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.795765,-36.791294,5.83,130,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.795792,-36.791312,6.2,128,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.795819,-36.791331,6.26,130,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.795848,-36.791351,6.79,129,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.795878,-36.791371,6.64,130,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.795907,-36.791392,6.79,131,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.795939,-36.791414,7.28,129,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.795973,-36.791435,7.6,127,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796011,-36.791456,8.15,123,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796047,-36.79148,8.42,131,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796081,-36.791505,7.83,131,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796117,-36.791528,7.98,127,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796154,-36.791548,7.83,122,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796193,-36.791569,8.15,123,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796232,-36.791588,8.15,122,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796273,-36.791606,8.42,117,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796312,-36.791624,7.45,119,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796347,-36.791645,7.6,127,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.79638,-36.791665,7.06,127,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796412,-36.791685,7.06,127,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796448,-36.791702,7.34,119,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796486,-36.791714,7.06,110,0,0,0,0,0,0,0,0,0,0
