RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796971,-36.791122,1.28,330,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.79697,-36.791117,0.92,331,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796965,-36.791118,0.92,286,0,0,0,0,0,0,0,0,0,0
4,1575688745000,0,0,0,0,0,0,174.796964,-36.791109,0.64,346,0,0,0,0,0,0,0,0,0,0
5,1575688746000,0,0,0,0,0,0,174.796964,-36.791107,0.53,346,0,0,0,0,0,0,0,0,0,0
6,1575688747000,0,0,0,0,0,0,174.796965,-36.791106,0.43,346,0,0,0,0,0,0,0,0,0,0
7,1575688748000,0,0,0,0,0,0,174.796967,-36.791108,0.96,112,0,0,0,0,0,0,0,0,0,0
8,1575688749000,0,0,0,0,0,0,174.796967,-36.791112,0.81,138,0,0,0,0,0,0,0,0,0,0
9,1575688750000,0,0,0,0,0,0,174.79697,-36.791113,0.64,125,0,0,0,0,0,0,0,0,0,0
10,1575688751000,0,0,0,0,0,0,174.796973,-36.791115,0.92,153,0,0,0,0,0,0,0,0,0,0
11,1575688752000,0,0,0,0,0,0,174.79697,-36.791118,0.92,173,0,0,0,0,0,0,0,0,0,0
12,1575688753000,0,0,0,0,0,0,174.79697,-36.79112,0.43,173,0,0,0,0,0,0,0,0,0,0
13,1575688754000,0,0,0,0,0,0,174.796972,-36.791122,0.85,166,0,0,0,0,0,0,0,0,0,0
14,1575688755000,0,0,0,0,0,0,174.79697,-36.791127,1.07,190,0,0,0,0,0,0,0,0,0,0
15,1575688756000,0,0,0,0,0,0,174.79697,-36.79113,0.81,165,0,0,0,0,0,0,0,0,0,0
16,1575688757000,0,0,0,0,0,0,174.796973,-36.791134,0.64,157,0,0,0,0,0,0,0,0,0,0
17,1575688758000,0,0,0,0,0,0,174.796974,-36.791136,0.43,169,0,0,0,0,0,0,0,0,0,0
18,1575688759000,0,0,0,0,0,0,174.796973,-36.791141,1.45,196,0,0,0,0,0,0,0,0,0,0
