RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.797032,-36.792071,3.66,77,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.797049,-36.79207,2.43,82,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.79706,-36.79207,1.98,85,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.797077,-36.792068,3.02,82,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.797093,-36.792066,2.69,81,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.797108,-36.792066,2.47,87,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.797124,-36.792064,2.96,82,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.797141,-36.792062,2.85,81,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.797157,-36.792061,2.69,82,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.797172,-36.792059,2.43,81,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.797188,-36.792055,3.17,70,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.797203,-36.792053,2.43,78,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.797217,-36.79205,2.47,77,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.797233,-36.79205,2.69,84,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.797248,-36.792049,2.58,85,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.797261,-36.792049,2.32,87,0,0,0,0,0,0,0,0,0,0
