RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796169,-36.79064,0.92,72,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796176,-36.790642,1.07,102,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796182,-36.790643,1.07,99,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796188,-36.790644,1.17,103,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796198,-36.790643,1.72,92,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796209,-36.790644,1.45,99,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.79622,-36.790644,1.83,94,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796232,-36.790645,2.37,94,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796248,-36.790647,2.69,97,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796265,-36.790648,3.39,90,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796287,-36.790647,4.04,89,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796313,-36.790649,4.75,92,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796342,-36.790656,5.45,106,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796369,-36.790669,6.09,115,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796397,-36.790689,6.79,128,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796422,-36.790714,6.79,138,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.796447,-36.790741,7.06,143,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796466,-36.790769,6.9,148,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796484,-36.790795,6.64,149,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796502,-36.790821,6.26,148,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.79652,-36.790846,6.47,149,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796534,-36.79087,5.39,153,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796548,-36.790892,5.55,153,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.79656,-36.790914,5.13,154,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796572,-36.790935,4.91,151,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796586,-36.790954,4.91,148,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796601,-36.790976,5.98,150,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796615,-36.790999,5.55,152,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.79663,-36.791022,5.83,151,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796645,-36.791043,5.72,150,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796661,-36.791065,5.72,150,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796674,-36.791087,5.39,153,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796686,-36.791108,4.75,150,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796702,-36.791126,4.75,146,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796717,-36.791148,5.28,149,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.796729,-36.79117,5.13,154,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.796741,-36.791189,4.64,150,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.796755,-36.791207,4.47,150,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.796769,-36.791226,4.91,149,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.796781,-36.791245,4.47,152,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.796793,-36.791262,3.98,149,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.796806,-36.791277,3.77,147,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.796816,-36.791292,3.72,147,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.796833,-36.791306,4.47,138,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.796847,-36.791323,4.47,147,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.796857,-36.791345,5.02,155,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.79687,-36.791364,4.75,152,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.796884,-36.791386,5.45,153,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.796891,-36.791411,5.55,166,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.796897,-36.791438,6.09,168,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.796901,-36.791462,5.66,171,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.796904,-36.791488,5.98,174,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.796907,-36.791515,5.98,177,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.796903,-36.79154,5.17,184,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.796888,-36.791558,4.64,200,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.796869,-36.791578,5.66,210,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.796846,-36.791601,6.09,215,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.796823,-36.791623,6.09,220,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.796796,-36.79164,5.72,231,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.796767,-36.791646,4.75,244,0,0,0,0,0,0,0,0,0,0
61,1575688801000,0,0,0,0,0,0,174.796736,-36.791647,5.39,262,0,0,0,0,0,0,0,0,0,0
62,1575688802000,0,0,0,0,0,0,174.796701,-36.791645,6.26,269,0,0,0,0,0,0,0,0,0,0
63,1575688803000,0,0,0,0,0,0,174.796669,-36.791639,5.39,285,0,0,0,0,0,0,0,0,0,0
64,1575688804000,0,0,0,0,0,0,174.796644,-36.791626,4.91,293,0,0,0,0,0,0,0,0,0,0
65,1575688805000,0,0,0,0,0,0,174.796631,-36.791612,3.39,310,0,0,0,0,0,0,0,0,0,0
66,1575688806000,0,0,0,0,0,0,174.796629,-36.791598,2.85,335,0,0,0,0,0,0,0,0,0,0
67,1575688807000,0,0,0,0,0,0,174.796628,-36.791587,2.32,344,0,0,0,0,0,0,0,0,0,0
68,1575688808000,0,0,0,0,0,0,174.796626,-36.791576,1.88,345,0,0,0,0,0,0,0,0,0,0
69,1575688809000,0,0,0,0,0,0,174.79662,-36.791569,1.72,332,0,0,0,0,0,0,0,0,0,0
70,1575688810000,0,0,0,0,0,0,174.796615,-36.791561,1.88,333,0,0,0,0,0,0,0,0,0,0
71,1575688811000,0,0,0,0,0,0,174.796611,-36.791554,1.45,335,0,0,0,0,0,0,0,0,0,0
72,1575688812000,0,0,0,0,0,0,174.796607,-36.791548,1.07,332,0,0,0,0,0,0,0,0,0,0
73,1575688813000,0,0,0,0,0,0,174.796604,-36.791544,0.92,329,0,0,0,0,0,0,0,0,0,0
74,1575688814000,0,0,0,0,0,0,174.796599,-36.791536,2.15,337,0,0,0,0,0,0,0,0,0,0
75,1575688815000,0,0,0,0,0,0,174.796596,-36.79153,1.17,340,0,0,0,0,0,0,0,0,0,0
76,1575688816000,0,0,0,0,0,0,174.796589,-36.791527,1.28,315,0,0,0,0,0,0,0,0,0,0
