RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.795612,-36.790152,6.47,307,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.795576,-36.79014,6.9,292,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795535,-36.790137,7.17,269,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.795492,-36.790143,7.72,257,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.79545,-36.790158,8.09,242,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795411,-36.790175,7.87,241,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.795376,-36.790194,7.06,235,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795348,-36.790212,6.2,233,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.795323,-36.790226,4.75,233,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.795305,-36.790237,3.98,232,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.795287,-36.790247,3.77,233,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.795267,-36.790258,4.32,236,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.795245,-36.79027,4.75,234,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.795224,-36.790282,4.47,236,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.795205,-36.790292,3.83,234,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.795189,-36.7903,3.17,237,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.795175,-36.790309,3.23,234,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.795155,-36.79032,4.64,237,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.795134,-36.790333,4.75,230,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.795116,-36.790345,3.72,231,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.795104,-36.790354,2.32,231,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.795089,-36.790361,3.39,235,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.795072,-36.790371,3.98,232,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.795054,-36.790382,4.09,232,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.795039,-36.790392,2.75,231,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.795028,-36.790399,2.47,231,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.795012,-36.790408,3.83,234,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.794992,-36.790418,4.04,234,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.794976,-36.790429,3.77,232,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.794961,-36.790439,2.91,232,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.794943,-36.790448,4.21,237,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.794919,-36.790461,5.17,235,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.794897,-36.790476,4.91,230,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.794879,-36.790488,3.77,229,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.794864,-36.790498,3.13,231,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.794847,-36.790509,4.21,230,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.794826,-36.790522,4.85,231,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.794806,-36.790538,4.91,229,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.794788,-36.790553,4.04,224,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.794774,-36.790563,3.23,225,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.794759,-36.790575,3.83,226,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.79474,-36.79059,5.13,224,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.794718,-36.790609,5.83,224,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.794693,-36.790628,6.09,227,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.79467,-36.790648,5.66,223,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.794647,-36.790663,5.28,232,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.794621,-36.790677,5.02,238,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.794595,-36.790689,5.13,243,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.794569,-36.790698,4.85,245,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.794543,-36.790709,5.28,242,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.794516,-36.790722,5.45,239,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.79449,-36.790737,5.72,233,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.794465,-36.790754,5.72,229,0,0,0,0,0,0,0,0,0,0
