RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796447,-36.791492,1.17,343,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796443,-36.791485,1.88,339,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796439,-36.791477,1.56,338,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796435,-36.791471,1.62,337,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796429,-36.791468,1.07,325,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796424,-36.791462,1.88,329,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796416,-36.791456,1.98,318,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796408,-36.791447,2.43,328,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796402,-36.791436,2.91,332,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796391,-36.791422,3.66,325,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.79638,-36.791405,4.32,336,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796371,-36.791387,4.47,340,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.79636,-36.791365,5.45,337,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796346,-36.791342,5.45,334,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796335,-36.791317,5.98,343,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796325,-36.791293,5.45,339,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.796311,-36.791269,5.66,335,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796301,-36.791243,6.09,343,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.79629,-36.791217,5.83,340,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796279,-36.791188,6.74,345,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.79626,-36.791163,6.36,323,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.79623,-36.791145,6.64,302,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796193,-36.791134,7.06,287,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.79615,-36.791132,7.45,269,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796108,-36.791137,7.45,257,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796072,-36.79115,6.74,243,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796047,-36.791166,5.17,230,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796031,-36.791182,4.26,215,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796022,-36.791197,3.51,208,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796013,-36.791214,4.26,203,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796005,-36.791233,4.75,198,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796001,-36.791253,4.09,189,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796002,-36.791269,3.51,182,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796004,-36.791287,4.04,175,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796009,-36.791303,3.17,166,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.796017,-36.791317,3.56,158,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.796029,-36.791334,4.47,151,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.796042,-36.791349,3.94,144,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.796055,-36.791364,4.09,146,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.796067,-36.79138,4.26,147,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.79608,-36.791396,4.04,144,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.796094,-36.791414,4.85,151,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.796106,-36.791434,4.91,153,0,0,0,0,0,0,0,0,0,0
