RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.797249,-36.791603,1.62,82,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.797258,-36.791602,1.72,71,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.797269,-36.791601,1.72,82,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.79728,-36.791599,1.98,77,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.797291,-36.791599,1.72,83,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.797304,-36.791598,2.58,77,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.797321,-36.791594,2.69,80,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.797333,-36.791594,1.83,84,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.797351,-36.791588,3.77,71,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.797366,-36.791587,2.15,75,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.797381,-36.791584,2.64,68,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.797394,-36.791581,2.43,70,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.79741,-36.791575,3.02,66,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.79742,-36.79157,1.17,66,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.797429,-36.791567,2.43,65,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.79744,-36.791563,1.56,67,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.797448,-36.791563,1.45,73,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.797462,-36.79156,2.64,80,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.797472,-36.791558,1.56,78,0,0,0,0,0,0,0,0,0,0
