RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.795623,-36.790993,1.72,333,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.795617,-36.790989,1.45,328,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795613,-36.79098,1.72,337,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.795607,-36.790974,1.45,333,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.795601,-36.790969,1.28,328,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795596,-36.790959,2.21,336,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.795589,-36.790951,1.98,329,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795579,-36.790944,2.32,321,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.795566,-36.790937,3.02,302,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.795546,-36.79093,3.98,297,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.795521,-36.790922,5.13,290,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.795488,-36.790917,5.83,279,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.79545,-36.790914,6.9,277,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.795411,-36.790911,6.79,276,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.795373,-36.790911,6.53,270,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.795337,-36.790917,6.26,255,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.795307,-36.79093,5.72,239,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.795286,-36.790946,4.58,227,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.79527,-36.790962,3.94,219,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.795255,-36.790978,4.26,218,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.795242,-36.790997,4.75,205,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.795238,-36.791017,4.26,189,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.79524,-36.791033,2.96,180,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.79525,-36.791045,3.39,154,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.795263,-36.791057,3.51,141,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.795284,-36.791066,4.32,118,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.79531,-36.791071,4.64,105,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.795333,-36.791072,3.72,96,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.795355,-36.791067,4.21,73,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.795372,-36.791059,3.13,64,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.795387,-36.791053,2.75,66,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.795403,-36.791046,3.39,61,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.795419,-36.791041,2.75,69,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.795433,-36.791039,2.58,79,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.795451,-36.791039,3.23,87,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.795472,-36.791045,3.94,103,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.795495,-36.791055,4.75,118,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.795521,-36.791069,5.72,122,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.79555,-36.791084,5.98,122,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.79558,-36.791098,6.09,118,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.795607,-36.791113,5.45,126,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.795633,-36.791129,5.72,126,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.795659,-36.791144,5.45,125,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.795684,-36.79116,5.55,130,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.795709,-36.791178,5.98,131,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.795735,-36.791196,5.94,128,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.795761,-36.791213,5.72,128,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.795788,-36.791231,5.98,130,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.795812,-36.791253,6.53,141,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.795834,-36.791277,6.2,142,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.795858,-36.791299,6.2,138,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.795882,-36.791319,5.83,133,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.795904,-36.791337,5.17,135,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.795923,-36.791354,4.85,137,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.795939,-36.79137,4.32,140,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.795956,-36.791386,4.36,137,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.795973,-36.791401,4.47,139,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.795987,-36.791418,3.98,145,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.796001,-36.791433,4.04,142,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.796016,-36.791449,4.26,142,0,0,0,0,0,0,0,0,0,0
