RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796371,-36.791515,1.62,337,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796371,-36.791507,1.72,353,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796369,-36.791502,1.07,348,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796367,-36.791495,1.45,354,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796364,-36.79149,1.17,346,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796362,-36.791487,0.64,345,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796362,-36.791482,1.07,4,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796359,-36.79148,0.92,348,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796356,-36.791478,0.43,340,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796355,-36.791476,0.7,348,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.79635,-36.791475,0.96,315,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796345,-36.791473,0.85,308,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796343,-36.791469,0.96,329,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.79634,-36.791467,0.7,318,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796337,-36.791466,0.43,314,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796334,-36.791465,0.58,297,0,0,0,0,0,0,0,0,0,0
17,1575688758000,0,0,0,0,0,0,174.79633,-36.791463,0.43,306,0,0,0,0,0,0,0,0,0,0
18,1575688760000,0,0,0,0,0,0,174.796328,-36.791463,0.43,259,0,0,0,0,0,0,0,0,0,0
19,1575688761000,0,0,0,0,0,0,174.796329,-36.791464,0.53,187,0,0,0,0,0,0,0,0,0,0
20,1575688762000,0,0,0,0,0,0,174.796329,-36.791466,0.43,201,0,0,0,0,0,0,0,0,0,0
21,1575688763000,0,0,0,0,0,0,174.796325,-36.791469,1.07,215,0,0,0,0,0,0,0,0,0,0
22,1575688764000,0,0,0,0,0,0,174.796326,-36.791471,0.64,203,0,0,0,0,0,0,0,0,0,0
23,1575688765000,0,0,0,0,0,0,174.796326,-36.791472,0.43,199,0,0,0,0,0,0,0,0,0,0
24,1575688766000,0,0,0,0,0,0,174.796326,-36.791475,0.43,182,0,0,0,0,0,0,0,0,0,0
25,1575688767000,0,0,0,0,0,0,174.796327,-36.791477,0.58,170,0,0,0,0,0,0,0,0,0,0
26,1575688768000,0,0,0,0,0,0,174.796328,-36.79148,0.7,165,0,0,0,0,0,0,0,0,0,0
27,1575688769000,0,0,0,0,0,0,174.796327,-36.791483,0.58,174,0,0,0,0,0,0,0,0,0,0
28,1575688770000,0,0,0,0,0,0,174.796326,-36.791486,0.81,182,0,0,0,0,0,0,0,0,0,0
29,1575688771000,0,0,0,0,0,0,174.796326,-36.791489,0.7,179,0,0,0,0,0,0,0,0,0,0
30,1575688772000,0,0,0,0,0,0,174.796325,-36.791493,0.96,187,0,0,0,0,0,0,0,0,0,0
31,1575688773000,0,0,0,0,0,0,174.796325,-36.791497,0.81,182,0,0,0,0,0,0,0,0,0,0
32,1575688774000,0,0,0,0,0,0,174.796323,-36.791501,0.96,195,0,0,0,0,0,0,0,0,0,0
33,1575688775000,0,0,0,0,0,0,174.796321,-36.791505,0.92,193,0,0,0,0,0,0,0,0,0,0
34,1575688776000,0,0,0,0,0,0,174.796318,-36.791511,1.34,206,0,0,0,0,0,0,0,0,0,0
35,1575688777000,0,0,0,0,0,0,174.796317,-36.791514,0.58,199,0,0,0,0,0,0,0,0,0,0
36,1575688778000,0,0,0,0,0,0,174.796316,-36.791518,1.07,203,0,0,0,0,0,0,0,0,0,0
37,1575688779000,0,0,0,0,0,0,174.796314,-36.791521,0.43,202,0,0,0,0,0,0,0,0,0,0
38,1575688780000,0,0,0,0,0,0,174.796312,-36.791522,0.43,214,0,0,0,0,0,0,0,0,0,0
39,1575688781000,0,0,0,0,0,0,174.796311,-36.791522,0.11,214,0,0,0,0,0,0,0,0,0,0
40,1575688782000,0,0,0,0,0,0,174.79631,-36.791523,0.32,221,0,0,0,0,0,0,0,0,0,0
41,1575688784000,0,0,0,0,0,0,174.796311,-36.791524,0.32,221,0,0,0,0,0,0,0,0,0,0
42,1575688785000,0,0,0,0,0,0,174.796311,-36.791524,0.21,221,0,0,0,0,0,0,0,0,0,0
43,1575688786000,0,0,0,0,0,0,174.79631,-36.791526,0.64,202,0,0,0,0,0,0,0,0,0,0
44,1575688787000,0,0,0,0,0,0,174.796311,-36.791528,0.26,202,0,0,0,0,0,0,0,0,0,0
45,1575688788000,0,0,0,0,0,0,174.796311,-36.79153,0.53,195,0,0,0,0,0,0,0,0,0,0
46,1575688789000,0,0,0,0,0,0,174.796309,-36.791533,0.81,199,0,0,0,0,0,0,0,0,0,0
47,1575688790000,0,0,0,0,0,0,174.796309,-36.791534,0.26,199,0,0,0,0,0,0,0,0,0,0
48,1575688792000,0,0,0,0,0,0,174.79631,-36.791538,1.07,187,0,0,0,0,0,0,0,0,0,0
49,1575688793000,0,0,0,0,0,0,174.79631,-36.791542,0.92,182,0,0,0,0,0,0,0,0,0,0
50,1575688794000,0,0,0,0,0,0,174.796311,-36.791546,0.85,171,0,0,0,0,0,0,0,0,0,0
51,1575688795000,0,0,0,0,0,0,174.796314,-36.79155,1.17,152,0,0,0,0,0,0,0,0,0,0
52,1575688796000,0,0,0,0,0,0,174.796318,-36.791555,1.34,149,0,0,0,0,0,0,0,0,0,0
