RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796516,-36.791428,2.11,347,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796511,-36.791419,1.98,341,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796505,-36.791411,1.88,335,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796496,-36.791406,1.98,329,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796493,-36.791398,1.72,342,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796486,-36.791393,1.56,316,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796482,-36.791385,1.83,330,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796478,-36.791377,1.62,330,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796472,-36.791372,1.45,327,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796469,-36.791367,0.92,330,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796469,-36.791361,1.28,330,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796467,-36.791351,1.72,340,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796465,-36.791343,1.98,345,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796462,-36.791335,1.56,343,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796457,-36.791326,2.21,344,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796455,-36.791319,1.17,344,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.796448,-36.791315,1.72,341,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796444,-36.791308,1.98,341,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796442,-36.791301,1.98,344,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796437,-36.791295,1.17,339,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796433,-36.791287,1.72,341,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796429,-36.79128,1.72,332,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.79642,-36.791271,2.43,326,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796414,-36.791261,2.15,331,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796408,-36.791255,1.62,329,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796403,-36.791246,2.15,342,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796396,-36.791236,2.37,334,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796389,-36.79123,1.45,329,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796383,-36.791221,2.15,333,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.796379,-36.791211,2.47,341,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796374,-36.791202,1.88,340,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796373,-36.791192,2.32,344,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796367,-36.791178,2.96,338,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796361,-36.791168,2.43,340,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796357,-36.791157,2.43,341,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.796354,-36.791147,2.21,345,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.79635,-36.791137,2.15,344,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.796345,-36.791128,1.98,344,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.796339,-36.791122,1.83,344,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.796331,-36.791117,1.72,326,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.796327,-36.791108,2.43,343,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.796328,-36.791093,1.83,345,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.796325,-36.791083,1.98,343,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.796318,-36.791076,2.15,334,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.796309,-36.791069,1.98,320,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.7963,-36.791061,2.91,321,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.79629,-36.791055,1.88,319,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.796281,-36.79105,1.34,309,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.796274,-36.791043,1.88,311,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.796265,-36.791034,2.91,325,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.796254,-36.791032,1.88,312,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.796234,-36.79103,3.77,292,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.796208,-36.791028,4.64,278,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.796178,-36.791041,6.36,242,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.79615,-36.791061,6.64,236,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.796125,-36.791084,6.09,225,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.796099,-36.791109,5.94,220,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.796078,-36.791132,5.83,218,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.796057,-36.791155,5.98,214,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.796039,-36.791177,5.55,213,0,0,0,0,0,0,0,0,0,0
61,1575688801000,0,0,0,0,0,0,174.796021,-36.791201,5.94,208,0,0,0,0,0,0,0,0,0,0
62,1575688802000,0,0,0,0,0,0,174.796004,-36.791222,5.13,210,0,0,0,0,0,0,0,0,0,0
63,1575688803000,0,0,0,0,0,0,174.795991,-36.791243,4.75,204,0,0,0,0,0,0,0,0,0,0
64,1575688804000,0,0,0,0,0,0,174.795983,-36.791263,4.26,199,0,0,0,0,0,0,0,0,0,0
65,1575688805000,0,0,0,0,0,0,174.795978,-36.791279,3.23,197,0,0,0,0,0,0,0,0,0,0
66,1575688806000,0,0,0,0,0,0,174.795977,-36.791297,4.04,187,0,0,0,0,0,0,0,0,0,0
67,1575688807000,0,0,0,0,0,0,174.795975,-36.791317,4.21,185,0,0,0,0,0,0,0,0,0,0
68,1575688808000,0,0,0,0,0,0,174.795972,-36.791343,4.91,183,0,0,0,0,0,0,0,0,0,0
69,1575688809000,0,0,0,0,0,0,174.795975,-36.791368,5.94,175,0,0,0,0,0,0,0,0,0,0
70,1575688810000,0,0,0,0,0,0,174.795977,-36.791396,4.91,171,0,0,0,0,0,0,0,0,0,0
71,1575688811000,0,0,0,0,0,0,174.795987,-36.791418,5.13,162,0,0,0,0,0,0,0,0,0,0
72,1575688812000,0,0,0,0,0,0,174.796,-36.791441,5.39,162,0,0,0,0,0,0,0,0,0,0
73,1575688813000,0,0,0,0,0,0,174.796011,-36.791472,7.17,163,0,0,0,0,0,0,0,0,0,0
74,1575688814000,0,0,0,0,0,0,174.796021,-36.791506,7.45,166,0,0,0,0,0,0,0,0,0,0
75,1575688815000,0,0,0,0,0,0,174.796031,-36.791538,7.28,164,0,0,0,0,0,0,0,0,0,0
76,1575688816000,0,0,0,0,0,0,174.796046,-36.791567,6.53,158,0,0,0,0,0,0,0,0,0,0
77,1575688817000,0,0,0,0,0,0,174.796064,-36.791592,5.83,149,0,0,0,0,0,0,0,0,0,0
78,1575688818000,0,0,0,0,0,0,174.796084,-36.791614,5.72,145,0,0,0,0,0,0,0,0,0,0
79,1575688819000,0,0,0,0,0,0,174.796104,-36.791637,6.2,144,0,0,0,0,0,0,0,0,0,0
