RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796068,-36.791888,6.64,236,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796035,-36.791904,6.74,240,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.795999,-36.791924,7.45,235,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.795974,-36.791948,6.79,223,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.795961,-36.791977,6.53,202,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.795951,-36.791995,3.66,202,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.795949,-36.792013,4.36,189,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.795957,-36.792026,2.69,175,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.79597,-36.792036,2.69,150,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.795984,-36.792043,2.91,137,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796001,-36.792044,2.69,108,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796015,-36.792043,1.98,85,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796027,-36.792036,2.75,62,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796036,-36.792027,2.15,54,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796042,-36.792016,2.43,40,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796045,-36.792009,1.07,36,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.796049,-36.792007,0.7,36,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796055,-36.792002,1.34,43,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796059,-36.791998,0.58,43,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796061,-36.791994,0.58,43,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796063,-36.791992,0.85,36,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796066,-36.791989,0.43,36,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796068,-36.791988,0.32,36,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796068,-36.791989,0.58,36,0,0,0,0,0,0,0,0,0,0
25,1575688766000,0,0,0,0,0,0,174.796074,-36.791996,0.85,112,0,0,0,0,0,0,0,0,0,0
26,1575688768000,0,0,0,0,0,0,174.796077,-36.792001,0.32,147,0,0,0,0,0,0,0,0,0,0
27,1575688770000,0,0,0,0,0,0,174.796073,-36.792,0.26,147,0,0,0,0,0,0,0,0,0,0
28,1575688772000,0,0,0,0,0,0,174.796075,-36.791999,0.26,147,0,0,0,0,0,0,0,0,0,0
29,1575688773000,0,0,0,0,0,0,174.79607,-36.792,1.07,147,0,0,0,0,0,0,0,0,0,0
30,1575688774000,0,0,0,0,0,0,174.796068,-36.792001,0.7,147,0,0,0,0,0,0,0,0,0,0
31,1575688776000,0,0,0,0,0,0,174.796064,-36.792005,0.32,147,0,0,0,0,0,0,0,0,0,0
32,1575688777000,0,0,0,0,0,0,174.796066,-36.792005,0.32,147,0,0,0,0,0,0,0,0,0,0
33,1575688778000,0,0,0,0,0,0,174.796065,-36.792003,0.64,147,0,0,0,0,0,0,0,0,0,0
34,1575688779000,0,0,0,0,0,0,174.796064,-36.792009,1.45,163,0,0,0,0,0,0,0,0,0,0
35,1575688780000,0,0,0,0,0,0,174.796066,-36.792013,0.26,163,0,0,0,0,0,0,0,0,0,0
36,1575688781000,0,0,0,0,0,0,174.796066,-36.792014,0.32,163,0,0,0,0,0,0,0,0,0,0
37,1575688782000,0,0,0,0,0,0,174.796063,-36.792016,0.92,176,0,0,0,0,0,0,0,0,0,0
38,1575688783000,0,0,0,0,0,0,174.796064,-36.792017,0.32,176,0,0,0,0,0,0,0,0,0,0
39,1575688784000,0,0,0,0,0,0,174.796064,-36.792019,0.53,176,0,0,0,0,0,0,0,0,0,0
40,1575688785000,0,0,0,0,0,0,174.796063,-36.792021,0.32,176,0,0,0,0,0,0,0,0,0,0
41,1575688786000,0,0,0,0,0,0,174.796061,-36.792025,0.96,191,0,0,0,0,0,0,0,0,0,0
42,1575688787000,0,0,0,0,0,0,174.796062,-36.792028,0.64,191,0,0,0,0,0,0,0,0,0,0
43,1575688788000,0,0,0,0,0,0,174.796063,-36.79203,0.43,191,0,0,0,0,0,0,0,0,0,0
44,1575688789000,0,0,0,0,0,0,174.796063,-36.792032,0.64,200,0,0,0,0,0,0,0,0,0,0
45,1575688790000,0,0,0,0,0,0,174.796063,-36.792036,0.64,181,0,0,0,0,0,0,0,0,0,0
46,1575688791000,0,0,0,0,0,0,174.796065,-36.792037,0.58,181,0,0,0,0,0,0,0,0,0,0
47,1575688792000,0,0,0,0,0,0,174.796068,-36.792038,0.58,181,0,0,0,0,0,0,0,0,0,0
48,1575688793000,0,0,0,0,0,0,174.79607,-36.79204,0.58,181,0,0,0,0,0,0,0,0,0,0
49,1575688794000,0,0,0,0,0,0,174.796076,-36.792042,0.92,181,0,0,0,0,0,0,0,0,0,0
50,1575688795000,0,0,0,0,0,0,174.796085,-36.792043,1.56,131,0,0,0,0,0,0,0,0,0,0
51,1575688796000,0,0,0,0,0,0,174.796087,-36.792047,0.92,159,0,0,0,0,0,0,0,0,0,0
52,1575688797000,0,0,0,0,0,0,174.796085,-36.792053,1.45,195,0,0,0,0,0,0,0,0,0,0
53,1575688798000,0,0,0,0,0,0,174.79608,-36.792059,1.07,195,0,0,0,0,0,0,0,0,0,0
54,1575688799000,0,0,0,0,0,0,174.79608,-36.79206,0.64,195,0,0,0,0,0,0,0,0,0,0
55,1575688801000,0,0,0,0,0,0,174.796078,-36.792068,0.43,205,0,0,0,0,0,0,0,0,0,0
56,1575688803000,0,0,0,0,0,0,174.796074,-36.792075,1.07,198,0,0,0,0,0,0,0,0,0,0
57,1575688804000,0,0,0,0,0,0,174.796073,-36.792075,0.58,142,0,0,0,0,0,0,0,0,0,0
58,1575688806000,0,0,0,0,0,0,174.79608,-36.792073,0.64,145,0,0,0,0,0,0,0,0,0,0
59,1575688807000,0,0,0,0,0,0,174.796085,-36.792074,1.28,132,0,0,0,0,0,0,0,0,0,0
60,1575688808000,0,0,0,0,0,0,174.796092,-36.792079,1.28,114,0,0,0,0,0,0,0,0,0,0
61,1575688809000,0,0,0,0,0,0,174.7961,-36.792082,1.62,126,0,0,0,0,0,0,0,0,0,0
62,1575688810000,0,0,0,0,0,0,174.796104,-36.792078,1.56,57,0,0,0,0,0,0,0,0,0,0
63,1575688811000,0,0,0,0,0,0,174.796112,-36.792073,1.98,50,0,0,0,0,0,0,0,0,0,0
64,1575688812000,0,0,0,0,0,0,174.796114,-36.792069,0.81,42,0,0,0,0,0,0,0,0,0,0
65,1575688813000,0,0,0,0,0,0,174.796123,-36.792067,1.98,58,0,0,0,0,0,0,0,0,0,0
66,1575688814000,0,0,0,0,0,0,174.796133,-36.792069,1.72,86,0,0,0,0,0,0,0,0,0,0
67,1575688815000,0,0,0,0,0,0,174.796146,-36.792067,2.37,76,0,0,0,0,0,0,0,0,0,0
68,1575688816000,0,0,0,0,0,0,174.796156,-36.792061,1.83,66,0,0,0,0,0,0,0,0,0,0
69,1575688817000,0,0,0,0,0,0,174.796163,-36.792056,1.62,62,0,0,0,0,0,0,0,0,0,0
70,1575688818000,0,0,0,0,0,0,174.796169,-36.792049,2.15,36,0,0,0,0,0,0,0,0,0,0
71,1575688819000,0,0,0,0,0,0,174.796171,-36.792049,0.96,36,0,0,0,0,0,0,0,0,0,0
72,1575688820000,0,0,0,0,0,0,174.79618,-36.792045,2.32,52,0,0,0,0,0,0,0,0,0,0
73,1575688821000,0,0,0,0,0,0,174.796192,-36.792039,2.43,60,0,0,0,0,0,0,0,0,0,0
74,1575688822000,0,0,0,0,0,0,174.796207,-36.792035,3.02,70,0,0,0,0,0,0,0,0,0,0
75,1575688823000,0,0,0,0,0,0,174.796222,-36.792032,2.75,75,0,0,0,0,0,0,0,0,0,0
76,1575688824000,0,0,0,0,0,0,174.796237,-36.792027,3.23,72,0,0,0,0,0,0,0,0,0,0
77,1575688825000,0,0,0,0,0,0,174.796256,-36.792027,2.64,86,0,0,0,0,0,0,0,0,0,0
78,1575688826000,0,0,0,0,0,0,174.796268,-36.792026,2.43,83,0,0,0,0,0,0,0,0,0,0
79,1575688827000,0,0,0,0,0,0,174.796281,-36.792026,2.32,87,0,0,0,0,0,0,0,0,0,0
80,1575688828000,0,0,0,0,0,0,174.796293,-36.792022,2.32,70,0,0,0,0,0,0,0,0,0,0
81,1575688829000,0,0,0,0,0,0,174.796301,-36.79202,1.28,71,0,0,0,0,0,0,0,0,0,0
82,1575688830000,0,0,0,0,0,0,174.796309,-36.792016,1.83,64,0,0,0,0,0,0,0,0,0,0
83,1575688831000,0,0,0,0,0,0,174.796314,-36.792014,0.58,64,0,0,0,0,0,0,0,0,0,0
84,1575688834000,0,0,0,0,0,0,174.796335,-36.79201,0.64,72,0,0,0,0,0,0,0,0,0,0
85,1575688835000,0,0,0,0,0,0,174.796341,-36.792008,1.17,63,0,0,0,0,0,0,0,0,0,0
86,1575688836000,0,0,0,0,0,0,174.796346,-36.792011,0.92,99,0,0,0,0,0,0,0,0,0,0
87,1575688837000,0,0,0,0,0,0,174.796345,-36.792016,0.96,99,0,0,0,0,0,0,0,0,0,0
88,1575688838000,0,0,0,0,0,0,174.796345,-36.792018,0.43,99,0,0,0,0,0,0,0,0,0,0
89,1575688839000,0,0,0,0,0,0,174.796346,-36.79202,0.7,99,0,0,0,0,0,0,0,0,0,0
90,1575688840000,0,0,0,0,0,0,174.79635,-36.79202,0.43,99,0,0,0,0,0,0,0,0,0,0
91,1575688841000,0,0,0,0,0,0,174.796354,-36.792023,1.17,99,0,0,0,0,0,0,0,0,0,0
92,1575688842000,0,0,0,0,0,0,174.796355,-36.792025,0.43,99,0,0,0,0,0,0,0,0,0,0
93,1575688843000,0,0,0,0,0,0,174.796359,-36.792029,1.34,107,0,0,0,0,0,0,0,0,0,0
94,1575688844000,0,0,0,0,0,0,174.796363,-36.79203,0.43,107,0,0,0,0,0,0,0,0,0,0
95,1575688845000,0,0,0,0,0,0,174.796368,-36.792032,0.92,107,0,0,0,0,0,0,0,0,0,0
96,1575688846000,0,0,0,0,0,0,174.796368,-36.792036,1.34,177,0,0,0,0,0,0,0,0,0,0
97,1575688847000,0,0,0,0,0,0,174.79637,-36.792041,1.17,157,0,0,0,0,0,0,0,0,0,0
98,1575688848000,0,0,0,0,0,0,174.796374,-36.792042,0.43,157,0,0,0,0,0,0,0,0,0,0
99,1575688849000,0,0,0,0,0,0,174.796379,-36.79204,0.64,137,0,0,0,0,0,0,0,0,0,0
100,1575688850000,0,0,0,0,0,0,174.796383,-36.792042,0.7,137,0,0,0,0,0,0,0,0,0,0
101,1575688851000,0,0,0,0,0,0,174.796385,-36.792043,0.32,137,0,0,0,0,0,0,0,0,0,0
102,1575688852000,0,0,0,0,0,0,174.796386,-36.792045,0.64,137,0,0,0,0,0,0,0,0,0,0
103,1575688853000,0,0,0,0,0,0,174.796388,-36.792046,0.43,137,0,0,0,0,0,0,0,0,0,0
104,1575688854000,0,0,0,0,0,0,174.796392,-36.792048,1.07,137,0,0,0,0,0,0,0,0,0,0
