RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.798215,-36.79207,5.28,176,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.798215,-36.792092,4.21,176,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.798218,-36.792112,4.47,172,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.798221,-36.792135,5.45,173,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.798219,-36.792163,5.83,185,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.798213,-36.792182,3.66,189,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.798205,-36.792195,2.47,191,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.798203,-36.792212,4.26,182,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.798198,-36.79223,4.04,195,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.79819,-36.792248,4.58,205,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.798173,-36.792263,3.83,212,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.798157,-36.792274,3.83,230,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.798135,-36.79228,4.36,243,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.798104,-36.792286,5.83,256,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.798065,-36.792289,7.06,262,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.798023,-36.792292,7.45,264,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.797979,-36.792293,7.34,266,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.797938,-36.792293,7.02,271,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.797895,-36.792291,7.34,273,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.797851,-36.792288,7.72,276,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.797805,-36.792282,8.26,277,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.797756,-36.792278,8.42,274,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.797705,-36.792274,8.74,275,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.797657,-36.792268,8.09,279,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.797616,-36.792258,7.17,287,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.797577,-36.792244,7.34,292,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.797533,-36.792231,7.98,286,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.797488,-36.79222,8.09,288,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.797443,-36.792209,8.26,289,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.797398,-36.792197,8.15,290,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.797354,-36.792184,8.26,290,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.797305,-36.792174,9.0,283,0,0,0,0,0,0,0,0,0,0
