RowCount,TimeStamp,Year,Month,Day,Hour,Minute,Second,Longitude [Deg E],Latitude [Deg N],SOG [knots],COG [Deg],Pitch [Deg],PitchTarget [Deg],Heel [Deg],HeelTarget [Deg],HeelRange [Deg],ClewLoad [0.1kg],Rudder [Deg],VMG [k],TWD [Deg],TWS [k]
1,1575688741000,0,0,0,0,0,0,174.796064,-36.791774,1.88,58,0,0,0,0,0,0,0,0,0,0
2,1575688742000,0,0,0,0,0,0,174.796073,-36.791768,2.15,53,0,0,0,0,0,0,0,0,0,0
3,1575688743000,0,0,0,0,0,0,174.796082,-36.791765,1.62,60,0,0,0,0,0,0,0,0,0,0
4,1575688744000,0,0,0,0,0,0,174.796093,-36.791763,2.15,69,0,0,0,0,0,0,0,0,0,0
5,1575688745000,0,0,0,0,0,0,174.796107,-36.791763,2.69,83,0,0,0,0,0,0,0,0,0,0
6,1575688746000,0,0,0,0,0,0,174.796123,-36.79176,2.75,80,0,0,0,0,0,0,0,0,0,0
7,1575688747000,0,0,0,0,0,0,174.796141,-36.791756,3.23,77,0,0,0,0,0,0,0,0,0,0
8,1575688748000,0,0,0,0,0,0,174.796157,-36.791753,2.69,77,0,0,0,0,0,0,0,0,0,0
9,1575688749000,0,0,0,0,0,0,174.796174,-36.79175,3.51,73,0,0,0,0,0,0,0,0,0,0
10,1575688750000,0,0,0,0,0,0,174.796192,-36.791746,2.69,80,0,0,0,0,0,0,0,0,0,0
11,1575688751000,0,0,0,0,0,0,174.796208,-36.791746,2.96,84,0,0,0,0,0,0,0,0,0,0
12,1575688752000,0,0,0,0,0,0,174.796228,-36.791749,3.72,99,0,0,0,0,0,0,0,0,0,0
13,1575688753000,0,0,0,0,0,0,174.796254,-36.791753,4.75,97,0,0,0,0,0,0,0,0,0,0
14,1575688754000,0,0,0,0,0,0,174.796282,-36.791754,5.02,93,0,0,0,0,0,0,0,0,0,0
15,1575688755000,0,0,0,0,0,0,174.796314,-36.791754,5.66,90,0,0,0,0,0,0,0,0,0,0
16,1575688756000,0,0,0,0,0,0,174.796347,-36.791753,5.72,87,0,0,0,0,0,0,0,0,0,0
17,1575688757000,0,0,0,0,0,0,174.79638,-36.79175,5.83,83,0,0,0,0,0,0,0,0,0,0
18,1575688758000,0,0,0,0,0,0,174.796413,-36.791749,5.72,88,0,0,0,0,0,0,0,0,0,0
19,1575688759000,0,0,0,0,0,0,174.796448,-36.791748,6.09,86,0,0,0,0,0,0,0,0,0,0
20,1575688760000,0,0,0,0,0,0,174.796479,-36.791748,5.39,89,0,0,0,0,0,0,0,0,0,0
21,1575688761000,0,0,0,0,0,0,174.796512,-36.791747,5.72,85,0,0,0,0,0,0,0,0,0,0
22,1575688762000,0,0,0,0,0,0,174.796543,-36.791745,5.17,86,0,0,0,0,0,0,0,0,0,0
23,1575688763000,0,0,0,0,0,0,174.796575,-36.791743,5.55,87,0,0,0,0,0,0,0,0,0,0
24,1575688764000,0,0,0,0,0,0,174.796608,-36.791741,5.72,86,0,0,0,0,0,0,0,0,0,0
25,1575688765000,0,0,0,0,0,0,174.796639,-36.791747,5.55,103,0,0,0,0,0,0,0,0,0,0
26,1575688766000,0,0,0,0,0,0,174.796669,-36.791758,5.83,111,0,0,0,0,0,0,0,0,0,0
27,1575688767000,0,0,0,0,0,0,174.796702,-36.79177,6.36,116,0,0,0,0,0,0,0,0,0,0
28,1575688768000,0,0,0,0,0,0,174.796732,-36.791788,6.47,125,0,0,0,0,0,0,0,0,0,0
29,1575688769000,0,0,0,0,0,0,174.796767,-36.791804,7.17,118,0,0,0,0,0,0,0,0,0,0
30,1575688770000,0,0,0,0,0,0,174.7968,-36.791823,6.9,128,0,0,0,0,0,0,0,0,0,0
31,1575688771000,0,0,0,0,0,0,174.796829,-36.791849,7.6,137,0,0,0,0,0,0,0,0,0,0
32,1575688772000,0,0,0,0,0,0,174.796859,-36.79188,8.74,143,0,0,0,0,0,0,0,0,0,0
33,1575688773000,0,0,0,0,0,0,174.796893,-36.791911,8.74,138,0,0,0,0,0,0,0,0,0,0
34,1575688774000,0,0,0,0,0,0,174.796935,-36.791929,8.26,112,0,0,0,0,0,0,0,0,0,0
35,1575688775000,0,0,0,0,0,0,174.796973,-36.79193,6.09,88,0,0,0,0,0,0,0,0,0,0
36,1575688776000,0,0,0,0,0,0,174.797,-36.791923,4.32,73,0,0,0,0,0,0,0,0,0,0
37,1575688777000,0,0,0,0,0,0,174.797018,-36.791916,3.17,68,0,0,0,0,0,0,0,0,0,0
38,1575688778000,0,0,0,0,0,0,174.797027,-36.791909,1.98,49,0,0,0,0,0,0,0,0,0,0
39,1575688779000,0,0,0,0,0,0,174.797032,-36.791902,1.34,41,0,0,0,0,0,0,0,0,0,0
40,1575688780000,0,0,0,0,0,0,174.797034,-36.791897,1.07,34,0,0,0,0,0,0,0,0,0,0
41,1575688781000,0,0,0,0,0,0,174.797034,-36.791892,1.07,12,0,0,0,0,0,0,0,0,0,0
42,1575688782000,0,0,0,0,0,0,174.797033,-36.791888,0.85,12,0,0,0,0,0,0,0,0,0,0
43,1575688783000,0,0,0,0,0,0,174.797034,-36.791882,1.17,10,0,0,0,0,0,0,0,0,0,0
44,1575688784000,0,0,0,0,0,0,174.797034,-36.791876,0.96,7,0,0,0,0,0,0,0,0,0,0
45,1575688785000,0,0,0,0,0,0,174.797035,-36.791871,0.81,5,0,0,0,0,0,0,0,0,0,0
46,1575688786000,0,0,0,0,0,0,174.797036,-36.791867,0.96,16,0,0,0,0,0,0,0,0,0,0
47,1575688787000,0,0,0,0,0,0,174.797034,-36.791863,0.64,8,0,0,0,0,0,0,0,0,0,0
48,1575688788000,0,0,0,0,0,0,174.797035,-36.79186,0.85,19,0,0,0,0,0,0,0,0,0,0
49,1575688789000,0,0,0,0,0,0,174.797036,-36.791856,0.64,15,0,0,0,0,0,0,0,0,0,0
50,1575688790000,0,0,0,0,0,0,174.797034,-36.791854,0.43,15,0,0,0,0,0,0,0,0,0,0
51,1575688791000,0,0,0,0,0,0,174.797034,-36.791851,0.64,14,0,0,0,0,0,0,0,0,0,0
52,1575688792000,0,0,0,0,0,0,174.79703,-36.791847,1.28,336,0,0,0,0,0,0,0,0,0,0
53,1575688793000,0,0,0,0,0,0,174.797026,-36.791843,1.07,331,0,0,0,0,0,0,0,0,0,0
54,1575688794000,0,0,0,0,0,0,174.797021,-36.791837,1.45,331,0,0,0,0,0,0,0,0,0,0
55,1575688795000,0,0,0,0,0,0,174.797018,-36.79183,1.45,338,0,0,0,0,0,0,0,0,0,0
56,1575688796000,0,0,0,0,0,0,174.797016,-36.791823,1.45,340,0,0,0,0,0,0,0,0,0,0
57,1575688797000,0,0,0,0,0,0,174.797014,-36.791818,0.92,342,0,0,0,0,0,0,0,0,0,0
58,1575688798000,0,0,0,0,0,0,174.797012,-36.791814,0.92,339,0,0,0,0,0,0,0,0,0,0
59,1575688799000,0,0,0,0,0,0,174.797007,-36.791809,1.28,327,0,0,0,0,0,0,0,0,0,0
60,1575688800000,0,0,0,0,0,0,174.797004,-36.791803,1.56,334,0,0,0,0,0,0,0,0,0,0
61,1575688801000,0,0,0,0,0,0,174.796997,-36.791799,1.45,321,0,0,0,0,0,0,0,0,0,0
62,1575688802000,0,0,0,0,0,0,174.79699,-36.791792,2.11,334,0,0,0,0,0,0,0,0,0,0
63,1575688803000,0,0,0,0,0,0,174.796981,-36.791787,2.15,314,0,0,0,0,0,0,0,0,0,0
64,1575688804000,0,0,0,0,0,0,174.796962,-36.791788,3.39,272,0,0,0,0,0,0,0,0,0,0
65,1575688805000,0,0,0,0,0,0,174.796942,-36.791785,3.56,277,0,0,0,0,0,0,0,0,0,0
66,1575688806000,0,0,0,0,0,0,174.796912,-36.791784,5.55,273,0,0,0,0,0,0,0,0,0,0
67,1575688807000,0,0,0,0,0,0,174.796872,-36.791785,7.28,268,0,0,0,0,0,0,0,0,0,0
68,1575688808000,0,0,0,0,0,0,174.796824,-36.791787,8.53,267,0,0,0,0,0,0,0,0,0,0
69,1575688809000,0,0,0,0,0,0,174.796774,-36.791788,8.64,270,0,0,0,0,0,0,0,0,0,0
70,1575688810000,0,0,0,0,0,0,174.796723,-36.791787,8.74,272,0,0,0,0,0,0,0,0,0,0
71,1575688811000,0,0,0,0,0,0,174.796674,-36.791781,8.53,278,0,0,0,0,0,0,0,0,0,0
72,1575688812000,0,0,0,0,0,0,174.796631,-36.79177,7.45,289,0,0,0,0,0,0,0,0,0,0
73,1575688813000,0,0,0,0,0,0,174.796594,-36.791757,6.74,294,0,0,0,0,0,0,0,0,0,0
74,1575688814000,0,0,0,0,0,0,174.796559,-36.791741,7.17,300,0,0,0,0,0,0,0,0,0,0
75,1575688815000,0,0,0,0,0,0,174.796525,-36.79172,7.34,306,0,0,0,0,0,0,0,0,0,0
76,1575688816000,0,0,0,0,0,0,174.796498,-36.791698,6.53,317,0,0,0,0,0,0,0,0,0,0
77,1575688817000,0,0,0,0,0,0,174.796479,-36.791677,5.02,324,0,0,0,0,0,0,0,0,0,0
78,1575688818000,0,0,0,0,0,0,174.796465,-36.791659,4.04,326,0,0,0,0,0,0,0,0,0,0
79,1575688819000,0,0,0,0,0,0,174.796454,-36.791647,2.96,324,0,0,0,0,0,0,0,0,0,0
80,1575688820000,0,0,0,0,0,0,174.796446,-36.791639,1.98,324,0,0,0,0,0,0,0,0,0,0
81,1575688821000,0,0,0,0,0,0,174.796442,-36.791631,1.88,338,0,0,0,0,0,0,0,0,0,0
82,1575688822000,0,0,0,0,0,0,174.796439,-36.791624,1.34,335,0,0,0,0,0,0,0,0,0,0
83,1575688823000,0,0,0,0,0,0,174.796435,-36.791619,0.92,332,0,0,0,0,0,0,0,0,0,0
84,1575688824000,0,0,0,0,0,0,174.79643,-36.791618,0.92,314,0,0,0,0,0,0,0,0,0,0
85,1575688825000,0,0,0,0,0,0,174.796426,-36.791614,1.17,330,0,0,0,0,0,0,0,0,0,0
86,1575688826000,0,0,0,0,0,0,174.796423,-36.791611,0.81,327,0,0,0,0,0,0,0,0,0,0
87,1575688827000,0,0,0,0,0,0,174.796421,-36.791608,0.64,323,0,0,0,0,0,0,0,0,0,0
88,1575688828000,0,0,0,0,0,0,174.796419,-36.791605,0.53,323,0,0,0,0,0,0,0,0,0,0
89,1575688829000,0,0,0,0,0,0,174.796416,-36.791603,0.53,323,0,0,0,0,0,0,0,0,0,0
90,1575688830000,0,0,0,0,0,0,174.796414,-36.791602,0.32,323,0,0,0,0,0,0,0,0,0,0
91,1575688831000,0,0,0,0,0,0,174.796411,-36.791601,0.58,297,0,0,0,0,0,0,0,0,0,0
92,1575688832000,0,0,0,0,0,0,174.796407,-36.791604,1.07,231,0,0,0,0,0,0,0,0,0,0
93,1575688833000,0,0,0,0,0,0,174.796404,-36.791605,0.43,235,0,0,0,0,0,0,0,0,0,0
94,1575688834000,0,0,0,0,0,0,174.7964,-36.791604,0.85,270,0,0,0,0,0,0,0,0,0,0
95,1575688835000,0,0,0,0,0,0,174.796397,-36.791604,0.58,259,0,0,0,0,0,0,0,0,0,0
96,1575688836000,0,0,0,0,0,0,174.796392,-36.791604,0.85,264,0,0,0,0,0,0,0,0,0,0
97,1575688837000,0,0,0,0,0,0,174.796388,-36.791601,0.81,300,0,0,0,0,0,0,0,0,0,0
98,1575688838000,0,0,0,0,0,0,174.796385,-36.7916,0.64,291,0,0,0,0,0,0,0,0,0,0
99,1575688839000,0,0,0,0,0,0,174.796382,-36.791598,0.85,319,0,0,0,0,0,0,0,0,0,0
100,1575688840000,0,0,0,0,0,0,174.796378,-36.791595,0.92,312,0,0,0,0,0,0,0,0,0,0
101,1575688841000,0,0,0,0,0,0,174.796373,-36.791595,0.81,293,0,0,0,0,0,0,0,0,0,0
102,1575688842000,0,0,0,0,0,0,174.796369,-36.791592,0.92,307,0,0,0,0,0,0,0,0,0,0
103,1575688843000,0,0,0,0,0,0,174.796368,-36.791587,1.17,350,0,0,0,0,0,0,0,0,0,0
104,1575688844000,0,0,0,0,0,0,174.796365,-36.791584,0.81,346,0,0,0,0,0,0,0,0,0,0
105,1575688845000,0,0,0,0,0,0,174.79636,-36.791581,1.07,312,0,0,0,0,0,0,0,0,0,0
106,1575688846000,0,0,0,0,0,0,174.796359,-36.791578,0.64,356,0,0,0,0,0,0,0,0,0,0
107,1575688847000,0,0,0,0,0,0,174.796361,-36.791575,0.53,4,0,0,0,0,0,0,0,0,0,0
108,1575688848000,0,0,0,0,0,0,174.796359,-36.791574,0.64,336,0,0,0,0,0,0,0,0,0,0
109,1575688849000,0,0,0,0,0,0,174.796359,-36.791575,0.43,336,0,0,0,0,0,0,0,0,0,0
110,1575688850000,0,0,0,0,0,0,174.796361,-36.791573,0.43,9,0,0,0,0,0,0,0,0,0,0
111,1575688851000,0,0,0,0,0,0,174.796357,-36.791575,1.07,284,0,0,0,0,0,0,0,0,0,0
112,1575688852000,0,0,0,0,0,0,174.796352,-36.791575,0.7,282,0,0,0,0,0,0,0,0,0,0
113,1575688853000,0,0,0,0,0,0,174.796346,-36.791573,1.07,292,0,0,0,0,0,0,0,0,0,0
114,1575688854000,0,0,0,0,0,0,174.796342,-36.79157,0.92,303,0,0,0,0,0,0,0,0,0,0
115,1575688855000,0,0,0,0,0,0,174.796339,-36.791568,0.64,311,0,0,0,0,0,0,0,0,0,0
116,1575688856000,0,0,0,0,0,0,174.796336,-36.791564,1.07,317,0,0,0,0,0,0,0,0,0,0
117,1575688857000,0,0,0,0,0,0,174.796331,-36.791561,1.07,310,0,0,0,0,0,0,0,0,0,0
118,1575688858000,0,0,0,0,0,0,174.796328,-36.791556,1.34,340,0,0,0,0,0,0,0,0,0,0
119,1575688859000,0,0,0,0,0,0,174.796326,-36.791552,0.58,338,0,0,0,0,0,0,0,0,0,0
120,1575688860000,0,0,0,0,0,0,174.796321,-36.79155,0.92,307,0,0,0,0,0,0,0,0,0,0
